weather system,date,heightAboveMSL,Regions
Cyclonic Circulation (CYCIR),2025-04-01,0.9 km,Madhya Maharashtra
Trough,2025-04-01,0.9 km,Chhattisgarh ; Vidarbha ; Marathwada ; Madhya Maharashtra
Trough,2025-04-01,0.9 km,Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Coastal Karnataka ; Tamil Nadu & Puducherry ; Comorin Area
Cyclonic Circulation (CYCIR),2025-04-01,1.5 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2025-04-01,1.5 km to 3.1 km,SW Bay ; Tamil Nadu & Puducherry
Western Disturbances (WD),2025-04-02,5.8 km,roughly along 68°E to north of 26°N
Cyclonic Circulation (CYCIR),2025-04-02,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-04-02,0.9 km,Sub-Himalayan West Bengal & Sikkim
Trough,2025-04-02,0.9 km,Sub-Himalayan West Bengal & Sikkim ; East Madhya Pradesh ; Bihar ; Chhattisgarh
Cyclonic Circulation (CYCIR),2025-04-02,1.5 km,Chhattisgarh
Cyclonic Circulation (CYCIR),2025-04-02,1.5 km,West Madhya Pradesh
Cyclonic Circulation (CYCIR),2025-04-02,3.1 km,Comorin Area
Easterly Trough,2025-04-02,0.9 km,Lakshadweep ; Konkan & Goa
Western Disturbances (WD),2025-04-03,5.8 km,roughly along 72°E to north of 26°N
Upper-Level Cyclonic Circulation,2025-04-03,1.5 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2025-04-03,0.9 km,Sub-Himalayan West Bengal & Sikkim ; Bangladesh
Upper-Level Cyclonic Circulation,2025-04-03,0.9 km,Marathwada ; Madhya Maharashtra
Easterly Trough,2025-04-03,0.9 km,South Interior Karnataka ; West Madhya Pradesh ; Marathwada
Upper-Level Cyclonic Circulation,2025-04-03,0.9 km,Coastal Andhra Pradesh ; Odisha
Upper-Level Cyclonic Circulation,2025-04-03,3.1 km,SE Arabian Sea
Trough,2025-04-03,3.1 km,SE Arabian Sea ; Kerala
Western Disturbances (WD),2025-04-04,5.8 km,Jammu & Kashmir ; Himachal Pradesh ; Ladakh ; North Pakistan
Upper-Level Cyclonic Circulation,2025-04-04,3.1 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-04-04,0.9 km,West Rajasthan
Cyclonic Circulation (CYCIR),2025-04-04,0.9 km,West Madhya Pradesh
Cyclonic Circulation (CYCIR),2025-04-04,1.5 km,Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2025-04-04,3.1 km,Andaman & Nicobar Islands
Western Disturbances (WD),2025-04-05,5.8 km,Himachal Pradesh ; Ladakh ; Uttarakhand
Upper-Level Cyclonic Circulation,2025-04-05,1.5 km,Assam & Meghalaya
Trough,2025-04-05,0.9 km,Madhya Maharashtra ; Tamil Nadu & Puducherry ; North Interior Karnataka ; South Interior Karnataka
Cyclonic Circulation (CYCIR),2025-04-05,3.1 km,SE Bay
Upper-Level Cyclonic Circulation,2025-04-06,0.9 km,Bihar
Trough,2025-04-06,1.5 km,Bihar ; Jharkhand ; Chhattisgarh ; Vidarbha
Upper-Level Cyclonic Circulation,2025-04-06,0.9 km,Chhattisgarh
Trough,2025-04-06,0.9 km,Marathwada ; South Interior Karnataka ; North Interior Karnataka ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,2025-04-06,1.5 km,South Interior Karnataka
Cyclonic Circulation (CYCIR),2025-04-06,5.8 km,SE Bay
Western Disturbances (WD),2025-04-06,5.8 km,Bihar ; East Uttar Pradesh ; Sub-Himalayan West Bengal & Sikkim
Low Pressure (L) with associated CYCIR,2025-04-07,5.8 km,SW Bay ; SE Bay
Trough,2025-04-07,1.5 km,SE Bay ; SW Bay ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,2025-04-07,1.5 km,Jharkhand
Upper-Level Cyclonic Circulation,2025-04-07,1.5 km,Assam & Meghalaya
Trough,2025-04-07,0.9 km,Madhya Maharashtra ; South Interior Karnataka ; North Interior Karnataka
Trough,2025-04-08,0.9 km,SE Bay ; SW Bay ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,2025-04-08,3.1 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2025-04-08,0.9 km,Madhya Maharashtra
Trough,2025-04-08,0.9 km,Madhya Maharashtra ; South Interior Karnataka ; North Interior Karnataka
Western Disturbances (WD),2025-04-08,5.8 km,Far West Pakistan
Trough,2025-04-08,1.5 km,West Rajasthan ; Vidarbha
Trough,2025-04-08,0.9 km,East Uttar Pradesh ; West Uttar Pradesh ; Bangladesh ; Bihar
Trough,2025-04-09,1.5 km,WC Bay ; Tamil Nadu & Puducherry
Western Disturbances (WD),2025-04-09,5.8 km,Southwest Pakistan
Upper-Level Cyclonic Circulation,2025-04-09,1.5 km,West Rajasthan
Upper-Level Cyclonic Circulation,2025-04-09,1.5 km,West Madhya Pradesh
Trough,2025-04-09,0.9 km,West Rajasthan ; Vidarbha ; West Madhya Pradesh
Trough,2025-04-09,0.9 km,East Madhya Pradesh ; Gangetic West Bengal ; Chhattisgarh ; Jharkhand
Upper-Level Cyclonic Circulation,2025-04-09,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-04-11,1.5 km,WC Bay
Western Disturbances (WD),2025-04-11,5.8 km,Central Pakistan ; West Rajasthan ; North Pakistan ; South Pakistan ; West Pakistan
Upper-Level Cyclonic Circulation,2025-04-11,1.5 km,West Rajasthan
Upper-Level Cyclonic Circulation,2025-04-11,0.9 km,West Madhya Pradesh
Trough,2025-04-11,0.9 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Vidarbha ; Coastal Andhra Pradesh
Trough,2025-04-11,1.5 km,East Madhya Pradesh ; Jharkhand ; Bangladesh
Westerly Trough,2025-04-11,5.8 km,Bihar ; Jharkhand ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; East Uttar Pradesh
Upper-Level Cyclonic Circulation,2025-04-11,3.1 km,Sub-Himalayan West Bengal & Sikkim
Trough,2025-04-11,3.1 km,Sub-Himalayan West Bengal & Sikkim ; WC Bay
Upper-Level Cyclonic Circulation,2025-04-11,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-04-12,5.8 km,Jammu & Kashmir
Upper-Level Cyclonic Circulation,2025-04-12,0.9 km,East Madhya Pradesh
Trough,2025-04-12,0.9 km,East Madhya Pradesh ; Gangetic West Bengal ; Jharkhand
Trough,2025-04-12,0.9 km,East Madhya Pradesh ; Telangana ; Chhattisgarh
Trough,2025-04-12,3.1 km,Assam & Meghalaya ; WC Bay
Upper-Level Cyclonic Circulation,2025-04-12,1.5 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2025-04-12,1.5 km,Bangladesh
Westerly Trough,2025-04-12,5.8 km,Bihar ; Jharkhand ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; East Uttar Pradesh
Western Disturbances (WD),2025-04-13,5.8 km,Chhattisgarh ; East Uttar Pradesh ; East Madhya Pradesh ; Uttarakhand ; West Uttar Pradesh
Upper-Level Cyclonic Circulation,2025-04-13,0.9 km,East Madhya Pradesh
Trough,2025-04-13,0.9 km,West Rajasthan ; East Madhya Pradesh ; East Rajasthan
Trough,2025-04-13,3.1 km,Bihar ; Odisha ; Jharkhand
Upper-Level Cyclonic Circulation,2025-04-13,0.9 km,Coastal Andhra Pradesh
Upper-Level Cyclonic Circulation,2025-04-13,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-04-14,5.8 km,East Uttar Pradesh ; Chhattisgarh ; Odisha ; Bihar ; Jharkhand
Trough,2025-04-14,0.9 km,West Rajasthan ; Gulf of Mannar ; East Rajasthan ; West Madhya Pradesh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Trough,2025-04-14,0.9 km,East Madhya Pradesh ; West Madhya Pradesh ; Vidarbha ; Telangana
Upper-Level Cyclonic Circulation,2025-04-14,1.5 km,East Madhya Pradesh
Trough,2025-04-14,1.5 km,East Madhya Pradesh ; Chhattisgarh ; Odisha
Upper-Level Cyclonic Circulation,2025-04-14,0.9 km,Bangladesh
Trough,2025-04-14,0.9 km,West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal
Upper-Level Cyclonic Circulation,2025-04-14,1.5 km to 3.1 km,Gulf of Mannar
Western Disturbances (WD),2025-04-15,5.8 km,Bihar ; Coastal Andhra Pradesh ; Jharkhand ; Odisha
Upper-Level Cyclonic Circulation,2025-04-15,1.5 km,West Madhya Pradesh
Trough,2025-04-15,1.5 km,West Madhya Pradesh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka
Trough,2025-04-15,1.5 km,West Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Odisha ; Gangetic West Bengal
Upper-Level Cyclonic Circulation,2025-04-15,0.9 km,Gulf of Mannar
Upper-Level Cyclonic Circulation,2025-04-15,1.5 km,West Rajasthan
Upper-Level Cyclonic Circulation,2025-04-15,1.5 km,SW Bay ; Tamil Nadu & Puducherry
Upper-Level Cyclonic Circulation,2025-04-15,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-04-16,3.1 km to 5.8 km,Sikkim ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; Jharkhand ; Odisha
Trough,2025-04-16,1.5 km,East Madhya Pradesh ; Marathwada ; North Interior Karnataka ; South Interior Karnataka
Trough,2025-04-16,1.5 km,East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal
Trough,2025-04-16,0.9 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Rayalaseema ; Tamil Nadu & Puducherry ; Gulf of Mannar
Upper-Level Cyclonic Circulation,2025-04-16,0.9 km,West Rajasthan
Upper-Level Cyclonic Circulation,2025-04-16,1.5 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2025-04-16,1.5 km,East Madhya Pradesh
Upper-Level Cyclonic Circulation,2025-04-17,1.5 km,West Rajasthan
Trough,2025-04-17,0.9 km,West Rajasthan ; East Rajasthan ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Gulf of Mannar
Upper-Level Cyclonic Circulation,2025-04-17,1.5 km to 5.8 km,Assam & Meghalaya
Trough,2025-04-17,0.9 km,East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal ; Bangladesh ; Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-04-17,1.5 km,Bihar
Cyclonic Circulation (CYCIR),2025-04-17,1.5 km,Rayalaseema
Western Disturbances (WD),2025-04-18,3.1 km to 9.6 km,Iran
Upper-Level Cyclonic Circulation,2025-04-18,1.5 km,Punjab
Trough,2025-04-18,1.5 km,"Punjab ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Jharkhand"
Cyclonic Circulation (CYCIR),2025-04-18,1.5 km,West Uttar Pradesh ; East Uttar Pradesh
