weather system,date,heightAboveMSL,Regions
Trough,2022-07-01,1.5 km,"West Rajasthan ; NE Bay ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Jharkhand ; Gangetic West Bengal"
Offshore Trough,2022-07-01,Surface,Gujarat Region ; Konkan & Goa ; Madhya Maharashtra
Cyclonic Circulation (CYCIR),2022-07-01,3.1 km to 5.8 km,East Rajasthan
Trough,2022-07-01,3.1 km to 5.8 km,East Rajasthan ; WC Arabian Sea
Monsoon Trough with Extension and Tilt,2022-07-02,0.9 km,West Rajasthan ; East Rajasthan ; West Uttar Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay
Offshore Trough,2022-07-02,Surface,Gujrat Region ; Konkan & Goa ; Madhya Maharashtra
Cyclonic Circulation (CYCIR),2022-07-02,1.5 km to 5.8 km,West Rajasthan ; East Rajasthan
Trough,2022-07-02,3.1 km to 5.8 km,West Rajasthan ; East Rajasthan ; WC Arabian Sea
Cyclonic Circulation (CYCIR),2022-07-02,5.8 km to 7.6 km,East Madhya Pradesh ; West Madhya Pradesh
Cyclonic Circulation (CYCIR),2022-07-02,7.6 km,Bangladesh
Cyclonic Circulation (CYCIR),2022-07-03,5.8 km,Jharkhand
Trough,2022-07-03,1.5 km to 5.8 km,West Rajasthan ; WC Arabian Sea
Low Pressure (L) with associated CYCIR,2022-07-04,5.8 km,Odisha ; Jharkhand ; Gangetic West Bengal
Trough,2022-07-04,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; Jharkhand ; Gangetic West Bengal ; EC Bay
Trough,2022-07-04,3.1 km,West Rajasthan ; WC Arabian Sea
Low Pressure (L) with associated CYCIR,2022-07-05,5.8 km,West Madhya Pradesh ; East Madhya Pradesh
Monsoon Trough with Extension and Tilt,2022-07-05,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Odisha ; EC Bay
Cyclonic Circulation (CYCIR),2022-07-05,4.5 km,NW Bay
Low Pressure (L) with associated CYCIR,2022-07-06,5.8 km,Saurashtra & Kutch
Monsoon Trough with Extension and Tilt,2022-07-06,1.5 km,Saurashtra & Kutch ; West Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay
Offshore Trough,2022-07-06,Surface,Gujarat Region ; Konkan & Goa ; Coastal Karnataka
Cyclonic Circulation (CYCIR),2022-07-06,1.5 km,Odisha ; Chhattisgarh
Well Marked Low Pressure Area (WML) with associated CYCIR,2022-07-07,5.8 km,Pakistan
