weather system,date,heightAboveMSL,Regions
Western Disturbances (WD),2020-04-01,3.1 km,North pakistan
Induced Cyclonic Circulation,2020-04-01,0.9 km,East Rajasthan
Westerly Trough,2020-04-01,5.8 km,West Pakistan ; Central Pakistan ; Far West Pakistan
Trough,2020-04-01,0.9 km,East Rajasthan ; East Madhya Pradesh ; West Madhya Pradesh
Trough,2020-04-01,0.9 km,South Interior Karnataka ; Marathwada ; North Interior Karnataka
Cyclonic Circulation (CYCIR),2020-04-01,1.5 km,Bangladesh
Cyclonic Circulation (CYCIR),2020-04-01,1.5 km,"Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),2020-04-01,1.5 km,Gangetic West Bengal
Western Disturbances (WD),2020-04-02,5.8 km,North Pakistan ; Jammu & Kashmir
Westerly Trough,2020-04-02,5.8 km,Southwest Pakistan
Trough,2020-04-02,0.9 km,Coastal Karnataka ; North Interior Karnataka ; Telangana
Westerly Trough,2020-04-02,0.9 km,Bihar ; Odisha
Cyclonic Circulation (CYCIR),2020-04-02,1.5 km,Odisha
Westerly Trough,2020-04-03,1.5 km,Gangetic West Bengal ; Coastal Andhra Pradesh ; Odisha
Cyclonic Circulation (CYCIR),2020-04-03,1.5 km,Madhya Maharashtra
Trough,2020-04-03,0.9 km,Comorin Area ; Rayalaseema
Western Disturbances (WD),2020-04-03,5.8 km,Jammu & Kashmir ; Punjab ; Madhya Maharashtra ; Coastal Karnataka ; Haryana
Westerly Trough,2020-04-04,0.9 km,Jharkhand ; Odisha ; Coastal Andhra Pradesh ; Telangana
Cyclonic Circulation (CYCIR),2020-04-04,2.1 km,Vidarbha
Trough,2020-04-04,0.9 km,Kerala ; South Interior Karnataka ; North Interior Karnataka ; Madhya Maharashtra
Western Disturbances (WD),2020-04-05,5.8 km,along Long. of 64°E to Lat. of 32°N
Westerly Trough,2020-04-05,1.5 km to 2.1 km,Sub-Himalayan West Bengal & Sikkim ; Odisha ; Gangetic West Bengal
Cyclonic Circulation (CYCIR),2020-04-05,1.5 km to 2.1 km,West Madhya Pradesh ; Vidarbha
Trough,2020-04-05,0.9 km,Kerala ; Madhya Maharashtra ; South Interior Karnataka ; North Interior Karnataka
Western Disturbances (WD),2020-04-06,5.8 km to 9.5 km,Iran
Western Disturbances (WD),2020-04-06,3.1 km,North pakistan
Cyclonic Circulation (CYCIR),2020-04-06,1.5 km,Marathwada
Trough,2020-04-06,1.5 km,South Interior Karnataka ; North Interior Karnataka ; Vidarbha ; Marathwada
Western Disturbances (WD),2020-04-07,3.1 km to 9.5 km,Pakistan
Western Disturbances (WD),2020-04-07,3.1 km,North pakistan
Induced Cyclonic Circulation,2020-04-07,1.5 km,West Rajasthan
Cyclonic Circulation (CYCIR),2020-04-07,1.5 km,West Madhya Pradesh ; Vidarbha
Trough,2020-04-07,1.5 km,West Madhya Pradesh ; Vidarbha ; South Interior Karnataka ; North Interior Karnataka ; Tamil Nadu & Puducherry
Western Disturbances (WD),2020-04-08,3.1 km to 9.5 km,North pakistan ; Punjab
Cyclonic Circulation (CYCIR),2020-04-08,1.5 km,West Rajasthan ; East Rajasthan
Cyclonic Circulation (CYCIR),2020-04-08,1.5 km,East Madhya Pradesh
Cyclonic Circulation (CYCIR),2020-04-08,0.9 km,Odisha
Cyclonic Circulation (CYCIR),2020-04-08,0.9 km,Bangladesh
Trough,2020-04-08,0.9 km,Rayalaseema ; Tamil Nadu & Puducherry ; South Interior Karnataka
Western Disturbances (WD),2020-04-09,5.8 km,Uttarakhand ; Sub-Himalayan West Bengal & Sikkim ; Himachal Pradesh ; Ladakh ; West Uttar Pradesh
Western Disturbances (WD),2020-04-09,5.8 km,North Pakistan
Cyclonic Circulation (CYCIR),2020-04-09,1.5 km,East Madhya Pradesh ; Chhattisgarh
Cyclonic Circulation (CYCIR),2020-04-09,0.9 km,Bangladesh
Western Disturbances (WD),2020-04-10,5.8 km,Jammu & Kashmir ; North Pakistan ; Ladakh
Western Disturbances (WD),2020-04-10,5.8 km,Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura ; Arunachal Pradesh
Cyclonic Circulation (CYCIR),2020-04-10,0.9 km,Odisha
Cyclonic Circulation (CYCIR),2020-04-10,0.9 km,Bangladesh
Trough,2020-04-10,0.9 km,EC Arabian Sea ; North Interior Karnataka ; Madhya Maharashtra ; Marathwada ; Vidarbha
Cyclonic Circulation (CYCIR),2020-04-10,0.9 km,Central Pakistan ; West Rajasthan
Western Disturbances (WD),2020-04-11,5.8 km,East Uttar Pradesh ; Bihar
Cyclonic Circulation (CYCIR),2020-04-11,0.9 km,Sub-Himalayan West Bengal & Sikkim
Trough,2020-04-11,0.9 km,EC Arabian Sea ; North Interior Karnataka ; Madhya Maharashtra ; West Madhya Pradesh ; East Rajasthan
Cyclonic Circulation (CYCIR),2020-04-11,1.5 km,Central Pakistan ; West Rajasthan
Western Disturbances (WD),2020-04-12,5.8 km,Bangladesh ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura
Western Disturbances (WD),2020-04-12,1.5 km,west Afghanistan & neighbourhood
Cyclonic Circulation (CYCIR),2020-04-12,4.5 km to 5.8 km,SE Arabian Sea ; Kerala
Cyclonic Circulation (CYCIR),2020-04-12,0.9 km,Gulf of Mannar ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2020-04-12,0.9 km,Bangladesh
Trough,2020-04-12,0.9 km,North Interior Karnataka ; East Madhya Pradesh ; Madhya Maharashtra ; Marathwada
Western Disturbances (WD),2020-04-13,3.1 km to 3.6 km,West Pakistan ; North Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),2020-04-13,4.5 km to 5.8 km,SE Arabian Sea ; Kerala
Cyclonic Circulation (CYCIR),2020-04-13,0.9 km,Comorin Area
Cyclonic Circulation (CYCIR),2020-04-13,1.5 km,Bangladesh
Trough,2020-04-13,0.9 km,North Interior Karnataka ; West Madhya Pradesh ; Madhya Maharashtra ; Marathwada ; Vidarbha
Trough,2020-04-13,0.9 km,Sub-Himalayan West Bengal & Sikkim ; Odisha ; Gangetic West Bengal
Western Disturbances (WD),2020-04-13,5.8 km,Bangladesh ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura
Western Disturbances (WD),2020-04-14,3.1 km to 3.6 km,West Pakistan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Induced Cyclonic Circulation,2020-04-14,0.9 km to 1.5 km,Central Pakistan
Cyclonic Circulation (CYCIR),2020-04-14,4.5 km to 5.8 km,SE Arabian Sea ; Kerala
Cyclonic Circulation (CYCIR),2020-04-14,0.9 km,Comorin Area
Trough,2020-04-14,0.9 km,Madhya Maharashtra ; East Madhya Pradesh ; West Madhya Pradesh ; Marathwada ; Vidarbha
Trough,2020-04-14,0.9 km,West Uttar Pradesh ; East Uttar Pradesh ; Odisha ; Jharkhand
Western Disturbances (WD),2020-04-15,3.1 km to 3.6 km,North Pakistan ; Jammu & Kashmir
Induced Cyclonic Circulation,2020-04-15,1.5 km,West Rajasthan
Cyclonic Circulation (CYCIR),2020-04-15,0.9 km,Gangetic West Bengal ; Bangladesh
Trough,2020-04-15,0.9 km,West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Jharkhand
Trough,2020-04-15,0.9 km,West Madhya Pradesh ; EC Arabian Sea ; Madhya Maharashtra ; Konkan & Goa
Western Disturbances (WD),2020-04-16,5.8 km,along longitude 50°E to the north of latitude 30°N
Cyclonic Circulation (CYCIR),2020-04-16,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2020-04-16,0.9 km,East Uttar Pradesh
Trough,2020-04-16,0.9 km,West Uttar Pradesh ; East Uttar Pradesh
