weather system,date,heightAboveMSL,Regions
Western Disturbances (WD),2023-04-01,3.1 km,Jammu & Kashmir
Westerly Trough,2023-04-01,5.8 km,Jammu & Kashmir ; Punjab ; Haryana ; East Rajasthan ; Delhi
Cyclonic Circulation (CYCIR),2023-04-01,0.9 km,"East Rajasthan ; Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),2023-04-01,1.5 km,East Uttar Pradesh ; East Madhya Pradesh ; West Madhya Pradesh
Cyclonic Circulation (CYCIR),2023-04-01,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2023-04-01,1.5 km,West Rajasthan
Trough,2023-04-01,0.9 km,Odisha ; North Interior Karnataka ; Coastal Andhra Pradesh ; Rayalaseema
Western Disturbances (WD),2023-04-02,5.8 km,Iran
Westerly Trough,2023-04-02,5.8 km,Bihar ; East Uttar Pradesh ; Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),2023-04-02,1.5 km,West Rajasthan
Trough,2023-04-02,1.5 km,Chhattisgarh ; Tamil Nadu & Puducherry ; Telangana ; Coastal Andhra Pradesh ; Rayalaseema
Western Disturbances (WD),2023-04-03,3.1 km to 7.6 km,Iran
Cyclonic Circulation (CYCIR),2023-04-03,1.5 km,West Rajasthan
Trough,2023-04-03,0.9 km,Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2023-04-03,0.9 km,Bangladesh
Western Disturbances (WD),2023-04-04,5.8 km,Far West Pakistan ; West Pakistan
Trough,2023-04-04,0.9 km,Jharkhand ; Odisha ; Coastal Andhra Pradesh ; Rayalaseema ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2023-04-04,0.9 km,Assam & Meghalaya
Western Disturbances (WD),2023-04-05,5.8 km,West Pakistan
Trough,2023-04-05,0.9 km,Chhattisgarh ; Vidarbha ; Telangana ; South Interior Karnataka ; North Interior Karnataka ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2023-04-05,0.9 km,Bangladesh
Trough,2023-04-05,0.9 km,Bangladesh ; Odisha
Cyclonic Circulation (CYCIR),2023-04-05,1.5 km,West Rajasthan ; Pakistan
Cyclonic Circulation (CYCIR),2023-04-05,0.9 km,West Madhya Pradesh ; East Madhya Pradesh
Western Disturbances (WD),2023-04-06,5.8 km,North Pakistan ; Central Pakistan ; South Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),2023-04-06,1.5 km,North Interior Karnataka
Trough,2023-04-06,0.9 km,North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
