weather system,date,heightAboveMSL,Regions
Western Disturbances (WD),2020-02-17,3.1 km to 4.5 km,Pakistan
Cyclonic Circulation (CYCIR),2020-02-17,1.5 km to 3.1 km,Sub-Himalayan West Bengal & Sikkim
Western Disturbances (WD),2020-02-17,5.8 km,Saurashtra & Kutch ; Central Pakistan ; Gujarat ; West Rajasthan ; North Pakistan
Western Disturbances (WD),2020-02-18,3.6 km,Jammu & Kashmir
Westerly Trough,2020-02-18,3.1 km to 5.8 km,Assam & Meghalaya ; Sub-Himalayan West Bengal & Sikkim ; Nagaland-Manipur-Mizoram-Tripura ; Arunachal Pradesh
Western Disturbances (WD),2020-02-19,3.1 km to 3.6 km,North pakistan
Westerly Trough,2020-02-19,5.8 km,West Pakistan ; South Pakistan ; Central Pakistan
Induced Cyclonic Circulation,2020-02-19,1.5 km,Central Pakistan
Cyclonic Circulation (CYCIR),2020-02-19,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2020-02-19,0.9 km,Odisha
Easterly Trough,2020-02-19,0.9 km,Tamil Nadu & Puducherry ; Madhya Maharashtra ; South Interior Karnataka ; North Interior Karnataka
Western Disturbances (WD),2020-02-20,3.1 km to 9.5 km,North pakistan
Induced Cyclonic Circulation,2020-02-20,1.5 km,West Rajasthan
Cyclonic Circulation (CYCIR),2020-02-20,1.5 km,Assam & Meghalaya
Easterly Trough,2020-02-20,0.9 km,Tamil Nadu & Puducherry ; North Interior Karnataka ; South Interior Karnataka
Cyclonic Circulation (CYCIR),2020-02-20,1.5 km,Sub-Himalayan West Bengal & Sikkim
Western Disturbances (WD),2020-02-21,3.1 km to 7.6 km,Himachal Pradesh
Induced Cyclonic Circulation,2020-02-21,1.5 km,"Haryana, Chandigarh & Delhi"
Trough,2020-02-21,1.5 km,"Haryana, Chandigarh & Delhi ; West Madhya Pradesh"
Cyclonic Circulation (CYCIR),2020-02-21,0.9 km,Coastal Karnataka
Trough,2020-02-21,0.9 km,Coastal Karnataka ; Marathwada
Trough,2020-02-21,3.1 km to 3.6 km,Arunachal Pradesh ; Nagaland-Manipur-Mizoram-Tripura ; Assam & Meghalaya
Cyclonic Circulation (CYCIR),2020-02-21,2.1 km,Bangladesh
Western Disturbances (WD),2020-02-22,5.8 km,Uttarakhand ; West Uttar Pradesh
Induced Cyclonic Circulation,2020-02-22,1.5 km,East Uttar Pradesh ; West Uttar Pradesh
Cyclonic Circulation (CYCIR),2020-02-22,1.5 km,East Rajasthan
Cyclonic Circulation (CYCIR),2020-02-22,3.1 km to 3.6 km,West Uttar Pradesh
Trough,2020-02-22,0.9 km,Madhya Maharashtra ; East Madhya Pradesh ; West Madhya Pradesh
Cyclonic Circulation (CYCIR),2020-02-22,1.5 km to 3.1 km,Bangladesh
