weather system,date,heightAboveMSL,Regions
Western Disturbances (WD),01-01-2023,5.8 km,along Longitude 80°E to the north of Latitude 30°N
Western Disturbances (WD),02-01-2023,5.8 km,along Longitude 65°E to the north of Latitude 30°N
Western Disturbances (WD),02-01-2023,5.8 km,along Longitude 80°E to the north of Latitude 30°N
Western Disturbances (WD),03-01-2023,5.8 km,along Longitude 74°E to the north of Latitude 32°N
Western Disturbances (WD),04-01-2023,5.8 km,along Longitude 78°E to the north of Latitude 28°N
Easterly Trough,04-01-2023,1.5 km,East Uttar Pradesh ; Vidarbha
Western Disturbances (WD),05-01-2023,3.1 km to 5.8 km,Iran
Trough,05-01-2023,1.5 km,East Madhya Pradesh ; Madhya Maharashtra
Western Disturbances (WD),05-01-2023,5.8 km,along Longitude 78°E to the north of Latitude 28°N
Western Disturbances (WD),06-01-2023,5.8 km,Far West Pakistan
Western Disturbances (WD),07-01-2023,5.8 km,Far West Pakistan
Cyclonic Circulation (CYCIR),07-01-2023,1.5 km to 3.1 km,Bangladesh
Western Disturbances (WD),08-01-2023,5.8 km,Far West Pakistan
Cyclonic Circulation (CYCIR),08-01-2023,3.1 km,Bangladesh
Western Disturbances (WD),09-01-2023,5.8 km,Southwest Pakistan ; West Pakistan
Western Disturbances (WD),10-01-2023,5.8 km,Saurashtra & Kutch ; Central Pakistan ; Gujarat ; West Rajasthan ; North Pakistan
Western Disturbances (WD),10-01-2023,5.8 km,Far West Pakistan
Western Disturbances (WD),11-01-2023,5.8 km,Southwest Pakistan
Induced Cyclonic Circulation,11-01-2023,1.5 km,Central Pakistan
Western Disturbances (WD),11-01-2023,5.8 km,Saurashtra & Kutch ; Central Pakistan ; Gujarat ; West Rajasthan ; North Pakistan
Western Disturbances (WD),12-01-2023,4.5 km,South Pakistan ; West Pakistan ; Saurashtra & Kutch ; Central Pakistan ; Gujarat
Induced Cyclonic Circulation,12-01-2023,1.5 km,West Rajasthan ; East Rajasthan
Western Disturbances (WD),13-01-2023,5.8 km,Saurashtra & Kutch ; Central Pakistan ; Gujarat ; West Rajasthan ; North Pakistan
Induced Cyclonic Circulation,13-01-2023,1.5 km,East Rajasthan
Western Disturbances (WD),14-01-2023,5.8 km,Jammu & Kashmir ; Punjab ; Madhya Maharashtra ; Coastal Karnataka ; Haryana
Western Disturbances (WD),15-01-2023,5.8 km,Jammu & Kashmir ; Punjab ; Madhya Maharashtra ; Coastal Karnataka ; Haryana
Western Disturbances (WD),17-01-2023,5.8 km,along 64°E to the north of 28°N
Western Disturbances (WD),18-01-2023,5.8 km,along 65°E to the north of 28°N
Western Disturbances (WD),18-01-2023,5.8 km to 7.6 km,Iran
Western Disturbances (WD),19-01-2023,5.8 km,along 70°E to the north of 30°N
Western Disturbances (WD),19-01-2023,5.8 km,Southwest Pakistan
Western Disturbances (WD),20-01-2023,3.1 km to 4.5 km,North pakistan
Western Disturbances (WD),20-01-2023,5.8 km,Southwest Pakistan
Induced Cyclonic Circulation,20-01-2023,1.5 km,West Rajasthan
Western Disturbances (WD),21-01-2023,3.1 km to 4.5 km,North pakistan ; Jammu & Kashmir
Western Disturbances (WD),21-01-2023,5.8 km,Afghanistan and neighbourhood
Westerly Trough,21-01-2023,7.6 km,Southwest Pakistan ; West Pakistan
