weather system,date,heightAboveMSL,Regions
Upper-Level Cyclonic Circulation,2026-01-03,1.5 km,Bangladesh
Upper-Level Cyclonic Circulation,2026-01-03,3.1 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2026-01-03,0.9 km,SE Arabian Sea ; Kerala
Upper-Level Cyclonic Circulation,2026-01-03,5.8 km,SE Bay ; SW Bay
Upper-Level Cyclonic Circulation,2026-01-03,1.5 km,Bangladesh ; Sub-Himalayan West Bengal & Sikkim
Upper-Level Cyclonic Circulation,2026-01-04,1.5 km,Bangladesh
Western Disturbances (WD),2026-01-04,5.8 km,West Pakistan ; South Pakistan
Upper-Level Cyclonic Circulation,2026-01-04,0.9 km,SE Arabian Sea ; Kerala
Upper-Level Cyclonic Circulation,2026-01-04,5.8 km,SE Bay ; SW Bay
Western Disturbances (WD),2026-01-05,3.1 km,West Uttar Pradesh
Westerly Trough,2026-01-05,5.8 km,West Rajasthan ; North Pakistan ; Gujarat ; Konkan & Goa ; Saurashtra & Kutch
Upper-Level Cyclonic Circulation,2026-01-05,5.8 km,SW Bay ; SE Bay
Western Disturbances (WD),2026-01-05,5.8 km,North pakistan
Easterly Trough,2026-01-05,3.1 km,Lakshadweep
Well Marked Low Pressure Area (WML) with associated CYCIR,2026-01-06,5.8 km,SE Bay
Western Disturbances (WD),2026-01-06,5.8 km,North pakistan
Cyclonic Circulation (CYCIR),2026-01-06,3.1 km,EC Arabian Sea ; Lakshadweep
Cyclonic Circulation (CYCIR),2026-01-06,0.9 km,Comorin Area
Cyclonic Circulation (CYCIR),2026-01-06,1.5 km,"Nagaland, Manipur, Mizoram & Tripura"
Western Disturbances (WD),2026-01-06,3.1 km,West Uttar Pradesh
Western Disturbances (WD),2026-01-07,3.1 km to 5.8 km,Jammu & Kashmir
Cyclonic Circulation (CYCIR),2026-01-07,1.5 km,"Nagaland, Manipur, Mizoram & Tripura ; Bangladesh"
Western Disturbances (WD),2026-01-08,3.1 km,Punjab
Upper-Level Cyclonic Circulation,2026-01-08,3.1 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2026-01-08,0.9 km,SE Arabian Sea ; Kerala
Western Disturbances (WD),2026-01-09,3.1 km to 4.5 km,North pakistan ; Punjab
Westerly Trough,2026-01-09,5.8 km,North Pakistan ; Central Pakistan ; Jammu & Kashmir
Western Disturbances (WD),2026-01-09,3.1 km,Punjab
Induced Cyclonic Circulation,2026-01-09,1.5 km,"Haryana, Chandigarh & Delhi"
Upper-Level Cyclonic Circulation,2026-01-09,3.1 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2026-01-09,1.5 km,SE Arabian Sea ; Kerala
Western Disturbances (WD),2026-01-10,3.1 km to 4.5 km,North pakistan ; Punjab
Westerly Trough,2026-01-10,5.8 km,North Pakistan ; Central Pakistan ; Jammu & Kashmir
Induced Cyclonic Circulation,2026-01-10,1.5 km,"Haryana, Chandigarh & Delhi"
Upper-Level Cyclonic Circulation,2026-01-10,1.5 km to 3.1 km,Assam & Meghalaya
Western Disturbances (WD),2026-01-11,5.8 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2026-01-12,0.9 km,Comorin Area
Western Disturbances (WD),2026-01-12,5.8 km,West Pakistan
Upper-Level Cyclonic Circulation,2026-01-12,1.5 km to 3.1 km,"Haryana, Chandigarh & Delhi"
Upper-Level Cyclonic Circulation,2026-01-13,0.9 km,Gulf of Mannar
Western Disturbances (WD),2026-01-13,3.1 km,Himachal Pradesh
Upper-Level Cyclonic Circulation,2026-01-13,0.9 km,West Uttar Pradesh
Westerly Trough,2026-01-13,5.8 km,between 60°E/27°N and 60°E/15°N
Westerly Trough,2026-01-14,5.8 km,Jammu & Kashmir ; Punjab ; Haryana ; North Pakistan ; Delhi
Upper-Level Cyclonic Circulation,2026-01-15,0.9 km,Lakshadweep ; SE Arabian Sea ; Kerala
Western Disturbances (WD),2026-01-15,5.8 km,Far West Pakistan ; Southwest Pakistan ; West Pakistan ; South Pakistan ; Saurashtra & Kutch
Upper-Level Cyclonic Circulation,2026-01-16,0.9 km,SE Arabian Sea ; Lakshadweep ; Kerala
Western Disturbances (WD),2026-01-16,3.1 km,Iran
Westerly Trough,2026-01-16,5.8 km,Far West Pakistan
Upper-Level Cyclonic Circulation,2026-01-17,0.9 km to 1.5 km,Comorin Area
Western Disturbances (WD),2026-01-17,3.1 km,Pakistan
Westerly Trough,2026-01-17,5.8 km,Southwest Pakistan
Induced Cyclonic Circulation,2026-01-17,1.5 km,West Rajasthan ; Pakistan
Upper-Level Cyclonic Circulation,2026-01-18,0.9 km to 1.5 km,Comorin Area
Western Disturbances (WD),2026-01-18,3.1 km,North pakistan
Westerly Trough,2026-01-18,5.8 km,South Pakistan ; West Pakistan ; Central Pakistan
Induced Cyclonic Circulation,2026-01-18,1.5 km,West Rajasthan ; East Rajasthan
Upper-Level Cyclonic Circulation,2026-01-18,1.5 km,West Uttar Pradesh
Upper-Level Cyclonic Circulation,2026-01-18,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2026-01-19,3.1 km,Punjab
Westerly Trough,2026-01-19,5.8 km,North Pakistan ; Jammu & Kashmir ; Punjab ; Central Pakistan ; Haryana
Western Disturbances (WD),2026-01-19,5.8 km,West Pakistan ; Central Pakistan ; Far West Pakistan
Induced Cyclonic Circulation,2026-01-19,1.5 km,"East Rajasthan ; Haryana, Chandigarh & Delhi"
Westerly Trough,2026-01-20,5.8 km,North Pakistan ; Jammu & Kashmir
