weather system,date,heightAboveMSL,Regions
Cyclonic Circulation (CYCIR),2022-04-01,0.9 km,East Uttar Pradesh
Trough,2022-04-01,0.9 km,East Uttar Pradesh ; North Interior Karnataka ; West Madhya Pradesh ; East Madhya Pradesh ; Vidarbha ; Telangana
Trough,2022-04-01,1.5 km,Bihar ; NW Bay
Cyclonic Circulation (CYCIR),2022-04-01,0.9 km,Gulf of Mannar
Cyclonic Circulation (CYCIR),2022-04-01,0.9 km,Bangladesh
Western Disturbances (WD),2022-04-01,5.8 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2022-04-02,0.9 km,Jharkhand
Trough,2022-04-02,0.9 km,Telangana ; Rayalaseema ; Tamil Nadu & Puducherry ; North Interior Karnataka ; South Interior Karnataka
Trough,2022-04-02,1.5 km,Bihar ; Odisha
Cyclonic Circulation (CYCIR),2022-04-02,0.9 km,Bangladesh
Western Disturbances (WD),2022-04-02,5.8 km,West Pakistan ; North Pakistan ; Central Pakistan
Induced Cyclonic Circulation,2022-04-02,1.5 km,West Rajasthan ; Central Pakistan
Trough,2022-04-03,0.9 km,Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Western Disturbances (WD),2022-04-03,5.8 km,North Pakistan
Cyclonic Circulation (CYCIR),2022-04-03,1.5 km,West Rajasthan ; Central Pakistan
Westerly Trough,2022-04-03,1.5 km to 3.1 km,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Assam & Meghalaya ; Bihar
Cyclonic Circulation (CYCIR),2022-04-03,1.5 km,East Madhya Pradesh
Cyclonic Circulation (CYCIR),2022-04-03,1.5 km,Tamil Nadu & Puducherry
Trough,2022-04-04,0.9 km,Marathwada ; Tamil Nadu & Puducherry ; North Interior Karnataka ; South Interior Karnataka
Westerly Trough,2022-04-04,1.5 km,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Assam & Meghalaya ; Bihar
Western Disturbances (WD),2022-04-04,5.8 km,North Pakistan
Trough,2022-04-05,0.9 km,Vidarbha ; Tamil Nadu & Puducherry ; Marathwada ; North Interior Karnataka ; South Interior Karnataka
Cyclonic Circulation (CYCIR),2022-04-05,0.9 km,Chhattisgarh
Westerly Trough,2022-04-05,1.5 km,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Assam & Meghalaya ; Bihar
Western Disturbances (WD),2022-04-06,3.1 km,along Lat. 57°E to the north of 25°N
Cyclonic Circulation (CYCIR),2022-04-06,2.1 km,East Madhya Pradesh
Trough,2022-04-06,0.9 km,East Madhya Pradesh ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2022-04-06,0.9 km,Gulf of Mannar ; Tamil Nadu & Puducherry
Western Disturbances (WD),2022-04-07,3.1 km to 5.8 km,along Lat. 57°E to the north of 25°N
Cyclonic Circulation (CYCIR),2022-04-07,3.1 km,East Madhya Pradesh
Trough,2022-04-07,0.9 km,East Madhya Pradesh ; Tamil Nadu & Puducherry ; Vidarbha ; Marathwada ; North Interior Karnataka ; South Interior Karnataka
Cyclonic Circulation (CYCIR),2022-04-07,1.5 km,Jharkhand
