weather system,date,heightAboveMSL,Regions
Cyclonic Circulation (CYCIR),2022-01-01,4.5 km to 5.8 km,SW Bay
Western Disturbances (WD),2022-01-01,4.5 km to 5.8 km,North Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),2022-01-01,3.1 km,Bangladesh
Cyclonic Circulation (CYCIR),2022-01-02,3.6 km,SW Bay
Trough,2022-01-02,0.9 km,Gulf of Mannar ; SW Bay
Cyclonic Circulation (CYCIR),2022-01-02,2.1 km,Bangladesh
Cyclonic Circulation (CYCIR),2022-01-02,1.5 km,West Rajasthan
Western Disturbances (WD),2022-01-03,5.8 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2022-01-03,1.5 km to 2.1 km,Bangladesh
Western Disturbances (WD),2022-01-04,5.8 km,Far West Pakistan ; Southwest Pakistan
Induced Cyclonic Circulation,2022-01-04,0.9 km,West Rajasthan ; Pakistan
Cyclonic Circulation (CYCIR),2022-01-04,1.5 km to 2.1 km,Bangladesh
Western Disturbances (WD),2022-01-05,3.1 km,Afghanistan and neighbourhood
Westerly Trough,2022-01-05,5.8 km,West Pakistan ; Southwest Pakistan ; South Pakistan
Induced Cyclonic Circulation,2022-01-05,0.9 km,West Rajasthan ; Pakistan
Western Disturbances (WD),2022-01-06,1.5 km to 3.1 km,North pakistan ; Punjab
Westerly Trough,2022-01-06,5.8 km,West Pakistan ; Southwest Pakistan ; South Pakistan
Induced Cyclonic Circulation,2022-01-06,0.9 km,East Rajasthan
Western Disturbances (WD),2022-01-07,3.1 km to 7.6 km,south Afghanistan and neighbourhood
Westerly Trough,2022-01-07,9.5 km,West Pakistan ; Southwest Pakistan ; South Pakistan
Induced Cyclonic Circulation,2022-01-07,1.5 km,West Rajasthan ; Pakistan
Western Disturbances (WD),2022-01-07,1.5 km to 3.1 km,North pakistan ; Punjab
Western Disturbances (WD),2022-01-08,3.1 km to 7.6 km,North pakistan
Westerly Trough,2022-01-08,9.5 km,Saurashtra & Kutch ; Central Pakistan ; Gujarat ; West Rajasthan ; North Pakistan
Induced Cyclonic Circulation,2022-01-08,1.5 km,East Rajasthan
Trough,2022-01-08,0.9 km,East Rajasthan ; West Madhya Pradesh
Western Disturbances (WD),2022-01-09,3.1 km to 7.6 km,North pakistan
Westerly Trough,2022-01-09,9.5 km,Gujarat ; West Rajasthan ; Saurashtra & Kutch ; North Pakistan ; Central Pakistan
Induced Cyclonic Circulation,2022-01-09,1.5 km,East Rajasthan
Trough,2022-01-09,0.9 km,East Rajasthan ; Marathwada ; West Madhya Pradesh
Cyclonic Circulation (CYCIR),2022-01-09,1.5 km,SW Bay ; SE Bay
Western Disturbances (WD),2022-01-10,3.1 km to 7.6 km,North pakistan ; Jammu & Kashmir
Westerly Trough,2022-01-10,9.5 km,Jammu & Kashmir ; Punjab ; Haryana ; East Rajasthan ; Delhi
Induced Cyclonic Circulation,2022-01-10,1.5 km,"Haryana, Chandigarh & Delhi"
Trough,2022-01-10,0.9 km,"Haryana, Chandigarh & Delhi ; East Madhya Pradesh"
Cyclonic Circulation (CYCIR),2022-01-10,5.8 km,SW Bay
Trough,2022-01-10,0.9 km,North Interior Karnataka ; Madhya Maharashtra
Cyclonic Circulation (CYCIR),2022-01-10,1.5 km to 2.1 km,Konkan & Goa
Western Disturbances (WD),2022-01-11,2.1 km to 4.5 km,West Rajasthan ; Central Pakistan
Westerly Trough,2022-01-11,5.8 km,West Rajasthan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Induced Cyclonic Circulation,2022-01-11,1.5 km,"Haryana, Chandigarh & Delhi"
Trough,2022-01-11,0.9 km,North Interior Karnataka ; Madhya Maharashtra
Cyclonic Circulation (CYCIR),2022-01-11,1.5 km to 2.1 km,Konkan & Goa
Trough,2022-01-11,1.5 km,Konkan & Goa ; Jharkhand
Cyclonic Circulation (CYCIR),2022-01-11,3.1 km,SW Bay
Western Disturbances (WD),2022-01-12,2.1 km to 5.8 km,East Rajasthan
Westerly Trough,2022-01-12,7.6 km,Delhi ; Himachal Pradesh ; Ladakh ; Haryana ; East Rajasthan
Induced Cyclonic Circulation,2022-01-12,1.5 km,West Uttar Pradesh
Trough,2022-01-12,0.9 km,South Interior Karnataka ; Chhattisgarh
Cyclonic Circulation (CYCIR),2022-01-12,1.5 km,Konkan & Goa
Cyclonic Circulation (CYCIR),2022-01-12,1.5 km,SW Bay
Cyclonic Circulation (CYCIR),2022-01-12,0.9 km,Tamil Nadu & Puducherry
Western Disturbances (WD),2022-01-13,3.1 km,"Haryana, Chandigarh & Delhi"
Westerly Trough,2022-01-13,7.6 km,Delhi ; Himachal Pradesh ; Ladakh ; Haryana ; East Rajasthan
Western Disturbances (WD),2022-01-13,5.8 km,North Pakistan ; Jammu & Kashmir
Trough,2022-01-13,0.9 km,North Interior Karnataka ; Odisha
Cyclonic Circulation (CYCIR),2022-01-13,1.5 km,Konkan & Goa
Cyclonic Circulation (CYCIR),2022-01-13,1.5 km,SW Bay
Cyclonic Circulation (CYCIR),2022-01-13,0.9 km,Tamil Nadu & Puducherry
Western Disturbances (WD),2022-01-14,3.1 km,"Haryana, Chandigarh & Delhi"
Western Disturbances (WD),2022-01-14,5.8 km,Jammu & Kashmir ; Himachal Pradesh ; Ladakh ; North Pakistan
Trough,2022-01-14,0.9 km,North Interior Karnataka ; Odisha
Cyclonic Circulation (CYCIR),2022-01-14,1.5 km,Konkan & Goa
Cyclonic Circulation (CYCIR),2022-01-14,1.5 km,SW Bay ; SE Bay
Cyclonic Circulation (CYCIR),2022-01-14,0.9 km,Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2022-01-15,3.1 km,West Uttar Pradesh
Trough,2022-01-15,5.8 km,Chhattisgarh ; East Uttar Pradesh ; East Madhya Pradesh ; Uttarakhand ; West Uttar Pradesh
Cyclonic Circulation (CYCIR),2022-01-15,1.5 km to 2.1 km,Konkan & Goa
Western Disturbances (WD),2022-01-15,5.8 km,Jammu & Kashmir ; Himachal Pradesh ; Ladakh ; North Pakistan
Westerly Trough,2022-01-16,5.8 km,Bangladesh ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura
Cyclonic Circulation (CYCIR),2022-01-16,1.5 km to 2.1 km,EC Arabian Sea ; Konkan & Goa
Cyclonic Circulation (CYCIR),2022-01-17,0.9 km,Kerala
Cyclonic Circulation (CYCIR),2022-01-17,1.5 km,West Rajasthan
Westerly Trough,2022-01-17,5.8 km,Bangladesh ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura
Cyclonic Circulation (CYCIR),2022-01-18,3.1 km,Bangladesh
Cyclonic Circulation (CYCIR),2022-01-19,0.9 km,Bangladesh
Western Disturbances (WD),2022-01-19,3.1 km,Southwest Pakistan
Western Disturbances (WD),2022-01-20,3.1 km,North pakistan
Induced Cyclonic Circulation,2022-01-20,0.9 km,West Rajasthan ; East Rajasthan
Cyclonic Circulation (CYCIR),2022-01-20,3.6 km,Bangladesh
Trough,2022-01-20,0.9 km,SW Bay ; SE Bay ; WC Bay ; EC Bay
Western Disturbances (WD),2022-01-21,3.1 km,North pakistan
Induced Cyclonic Circulation,2022-01-21,0.9 km,West Madhya Pradesh ; East Madhya Pradesh
Western Disturbances (WD),2022-01-21,5.8 km,Far West Pakistan
Induced Cyclonic Circulation,2022-01-21,2.1 km,Pakistan ; West Rajasthan
Cyclonic Circulation (CYCIR),2022-01-21,3.1 km,Bangladesh
Western Disturbances (WD),2022-01-22,3.1 km,North pakistan
Westerly Trough,2022-01-22,5.8 km,West Pakistan ; Southwest Pakistan ; South Pakistan
