weather system,date,heightAboveMSL,Regions
Cyclonic Circulation (CYCIR),2025-07-02,5.8 km,Jharkhand
Trough,2025-07-02,0.9 km to 5.8 km,East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal ; NW Bay
Upper-Level Cyclonic Circulation,2025-07-02,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-07-03,0.9 km,West Rajasthan
Cyclonic Circulation (CYCIR),2025-07-03,1.5 km,East Madhya Pradesh
Upper-Level Cyclonic Circulation,2025-07-03,1.5 km to 5.8 km,Odisha ; Gangetic West Bengal
Trough,2025-07-03,3.1 km to 5.8 km,NE Arabian Sea ; Gujarat Region ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; NW Bay
Upper-Level Cyclonic Circulation,2025-07-03,0.9 km,Assam & Meghalaya
Monsoon Trough with Extension and Tilt,2025-07-04,Surface,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Gangetic West Bengal ; NE Bay
Cyclonic Circulation (CYCIR),2025-07-04,1.5 km,East Madhya Pradesh
Upper-Level Cyclonic Circulation,2025-07-04,5.8 km,Gangetic West Bengal
Trough,2025-07-04,3.1 km,Gujarat Region ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal
Upper-Level Cyclonic Circulation,2025-07-04,1.5 km,Assam & Meghalaya
Offshore Trough,2025-07-04,Surface,Konkan & Goa ; Madhya Maharashtra ; North Interior Karnataka ; South Interior Karnataka ; Coastal Karnataka
Mean Sea Level Trough,2025-07-06,Surface,"West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay"
Upper-Level Cyclonic Circulation,2025-07-06,1.5 km,Himachal Pradesh ; Punjab
Low Pressure (L) with associated CYCIR,2025-07-06,7.6 km,Gangetic West Bengal
Trough,2025-07-06,3.1 km to 5.8 km,NE Arabian Sea ; Gujarat Region ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Jharkhand ; Gangetic West Bengal
Upper-Level Cyclonic Circulation,2025-07-06,1.5 km,"Nagaland, Manipur, Mizoram & Tripura"
Offshore Trough,2025-07-06,Surface,Gujarat Region ; Konkan & Goa ; Coastal Karnataka
