weather system,date,heightAboveMSL,Regions
Western Disturbances (WD),2026-04-01,3.1 km,Iran
Westerly Trough,2026-04-01,5.8 km,Far West Pakistan ; Southwest Pakistan ; North Pakistan ; West Pakistan ; Central Pakistan
Upper-Level Cyclonic Circulation,2026-04-01,1.5 km,Pakistan ; Saurashtra & Kutch
Upper-Level Cyclonic Circulation,2026-04-01,1.5 km,East Madhya Pradesh
Upper-Level Cyclonic Circulation,2026-04-01,1.5 km,East Rajasthan
Trough,2026-04-01,0.9 km,Bihar ; Jharkhand ; Chhattisgarh ; East Madhya Pradesh ; West Madhya Pradesh ; Madhya Maharashtra
Trough,2026-04-01,0.9 km,Tamil Nadu & Puducherry ; North Interior Karnataka
Upper-Level Cyclonic Circulation,2026-04-01,1.5 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2026-04-01,0.9 km,Bihar
Westerly Trough,2026-04-01,5.8 km,Uttarakhand ; West Uttar Pradesh ; Himachal Pradesh ; Ladakh ; Delhi
Western Disturbances (WD),2026-04-02,3.1 km to 7.6 km,Iran
Upper-Level Cyclonic Circulation,2026-04-02,1.5 km,East Rajasthan
Trough,2026-04-02,1.5 km,East Rajasthan ; EC Arabian Sea ; Gujarat Region
Upper-Level Cyclonic Circulation,2026-04-02,1.5 km,Pakistan ; Saurashtra & Kutch
Trough,2026-04-02,0.9 km,Jharkhand ; Chhattisgarh
Trough,2026-04-02,0.9 km,Tamil Nadu & Puducherry ; Konkan & Goa ; South Interior Karnataka ; North Interior Karnataka
Upper-Level Cyclonic Circulation,2026-04-02,0.9 km,Assam & Meghalaya
Western Disturbances (WD),2026-04-03,3.1 km to 7.6 km,Pakistan
Upper-Level Cyclonic Circulation,2026-04-03,1.5 km,"Haryana, Chandigarh & Delhi"
Trough,2026-04-03,1.5 km,"Pakistan ; West Uttar Pradesh ; Punjab ; Haryana, Chandigarh & Delhi"
Trough,2026-04-03,0.9 km,West Madhya Pradesh ; East Madhya Pradesh ; Vidarbha
Upper-Level Cyclonic Circulation,2026-04-03,0.9 km,Gujarat Region
Upper-Level Cyclonic Circulation,2026-04-03,0.9 km,Sub-Himalayan West Bengal & Sikkim
Upper-Level Cyclonic Circulation,2026-04-03,1.5 km to 3.1 km,Coastal Andhra Pradesh
Trough,2026-04-03,0.9 km,Marathwada ; Tamil Nadu & Puducherry ; North Interior Karnataka ; South Interior Karnataka
Upper-Level Cyclonic Circulation,2026-04-03,1.5 km,Pakistan
Upper-Level Cyclonic Circulation,2026-04-03,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2026-04-04,3.1 km to 9.6 km,Central Pakistan
Upper-Level Cyclonic Circulation,2026-04-04,1.5 km,Punjab
Trough,2026-04-04,0.9 km,"Bihar ; Nagaland, Manipur, Mizoram & Tripura ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Assam & Meghalaya"
Upper-Level Cyclonic Circulation,2026-04-04,0.9 km,Chhattisgarh
Upper-Level Cyclonic Circulation,2026-04-04,1.5 km to 3.1 km,Coastal Andhra Pradesh
Trough,2026-04-04,0.9 km,Marathwada ; Tamil Nadu & Puducherry ; North Interior Karnataka ; South Interior Karnataka
Western Disturbances (WD),2026-04-05,3.1 km to 4.5 km,Central Pakistan ; Punjab
Westerly Trough,2026-04-05,5.8 km,Gujarat ; West Rajasthan ; Saurashtra & Kutch ; North Pakistan ; Central Pakistan
Upper-Level Cyclonic Circulation,2026-04-05,1.5 km,West Uttar Pradesh
Trough,2026-04-05,0.9 km,Gangetic West Bengal ; Telangana ; Chhattisgarh
Upper-Level Cyclonic Circulation,2026-04-05,1.5 km,WC Bay ; Coastal Andhra Pradesh
Upper-Level Cyclonic Circulation,2026-04-05,0.9 km,Rayalaseema
