weather system,date,heightAboveMSL,Regions,subdivisions
Western Disturbances (WD),2024-01-01,1.5 km,West Uttar Pradesh,West Uttar Pradesh
Westerly Trough,2024-01-01,5.8 km,Jammu & Kashmir ; Punjab ; North Pakistan ; Haryana ; Himachal Pradesh,Jammu & Kashmir ; Punjab ; North Pakistan ; Haryana ; Himachal Pradesh
Cyclonic Circulation (CYCIR),2024-01-02,1.5 km,Bihar,Bihar
Cyclonic Circulation (CYCIR),2024-01-02,3.1 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Trough,2024-01-02,0.9 km,West Uttar Pradesh ; East Uttar Pradesh ; West Madhya Pradesh,West Uttar Pradesh ; East Uttar Pradesh ; West Madhya Pradesh
Low Pressure (L) with associated CYCIR,2024-01-03,5.8 km,SE Arabian Sea,SE Arabian Sea
Trough,2024-01-03,1.5 km,SE Arabian Sea ; Kerala ; Coastal Karnataka,SE Arabian Sea ; Kerala ; Coastal Karnataka
Cyclonic Circulation (CYCIR),2024-01-03,5.8 km,SW Bay,SW Bay
Cyclonic Circulation (CYCIR),2024-01-03,1.5 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Trough,2024-01-03,1.5 km,"Konkan & Goa ; Haryana, Chandigarh & Delhi","Konkan & Goa ; Haryana, Chandigarh & Delhi"
Western Disturbances (WD),2024-01-03,3.1 km to 4.5 km,Jammu & Kashmir ; North pakistan,Jammu & Kashmir ; North pakistan
Cyclonic Circulation (CYCIR),2024-01-04,3.1 km,SE Arabian Sea ; Lakshadweep,SE Arabian Sea ; Lakshadweep
Trough,2024-01-04,1.5 km,SE Arabian Sea ; Lakshadweep ; South Interior Karnataka,SE Arabian Sea ; Lakshadweep ; South Interior Karnataka
Western Disturbances (WD),2024-01-04,3.1 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Induced Cyclonic Circulation,2024-01-04,1.5 km,West Uttar Pradesh,West Uttar Pradesh
Trough,2024-01-04,1.5 km,North Interior Karnataka ; West Uttar Pradesh,North Interior Karnataka ; West Uttar Pradesh
Cyclonic Circulation (CYCIR),2024-01-05,3.1 km,Lakshadweep ; SE Arabian Sea,Lakshadweep ; SE Arabian Sea
Trough,2024-01-05,1.5 km,Lakshadweep ; Konkan & Goa,Lakshadweep ; Konkan & Goa
