weather system,date,heightAboveMSL,Regions
Western Disturbances (WD),2025-01-01,3.1 km,east Afghanistan & neighbourhood
Cyclonic Circulation (CYCIR),2025-01-01,0.9 km,SW Bay
Western Disturbances (WD),2025-01-01,3.1 km to 5.8 km,Iraq & neighbourhood
Western Disturbances (WD),2025-01-02,3.1 km,Jammu & Kashmir ; North pakistan
Western Disturbances (WD),2025-01-02,3.1 km to 5.8 km,Iran
Western Disturbances (WD),2025-01-03,3.1 km to 9.4 km,Iran
Western Disturbances (WD),2025-01-04,5.8 km,Southwest Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),2025-01-04,3.1 km to 9.4 km,Afghanistan & neighbourhood
Induced Cyclonic Circulation,2025-01-04,1.5 km,West Rajasthan ; Pakistan
Western Disturbances (WD),2025-01-05,3.1 km to 12.6 km,West Pakistan ; South Pakistan ; Saurashtra & Kutch ; Central Pakistan
Induced Cyclonic Circulation,2025-01-05,1.5 km,West Rajasthan ; East Rajasthan
Trough,2025-01-05,1.5 km,Punjab ; WC Arabian Sea ; West Rajasthan ; East Rajasthan
Western Disturbances (WD),2025-01-06,3.1 km,North pakistan
Induced Cyclonic Circulation,2025-01-06,1.5 km,East Rajasthan
Cyclonic Circulation (CYCIR),2025-01-06,0.9 km,Madhya Maharashtra
Cyclonic Circulation (CYCIR),2025-01-06,3.1 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-06,1.5 km,SE Bay
Trough,2025-01-06,1.5 km,SE Bay ; Tamil Nadu & Puducherry
Western Disturbances (WD),2025-01-07,5.8 km,East Uttar Pradesh ; Bihar ; Uttarakhand ; West Uttar Pradesh ; Sub-Himalayan West Bengal & Sikkim
Induced Cyclonic Circulation,2025-01-07,0.9 km,West Uttar Pradesh
Cyclonic Circulation (CYCIR),2025-01-07,0.9 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-07,1.5 km,SE Bay
Trough,2025-01-07,1.5 km,SE Bay ; Kerala ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2025-01-07,0.9 km,SE Arabian Sea ; Kerala
Western Disturbances (WD),2025-01-08,5.8 km,Assam & Meghalaya ; Arunachal Pradesh
Cyclonic Circulation (CYCIR),2025-01-08,0.9 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-08,1.5 km,SE Bay
Cyclonic Circulation (CYCIR),2025-01-08,3.1 km,Tamil Nadu & Puducherry
Western Disturbances (WD),2025-01-09,3.1 km to 5.8 km,Iran
Cyclonic Circulation (CYCIR),2025-01-09,3.1 km,SE Arabian Sea ; Kerala
Cyclonic Circulation (CYCIR),2025-01-09,3.1 km,SE Bay
Cyclonic Circulation (CYCIR),2025-01-09,1.5 km,Bangladesh
Western Disturbances (WD),2025-01-09,5.8 km,Assam & Meghalaya ; Arunachal Pradesh
Western Disturbances (WD),2025-01-10,3.1 km to 9.4 km,Iran
Cyclonic Circulation (CYCIR),2025-01-10,3.1 km,SE Bay ; SW Bay
Cyclonic Circulation (CYCIR),2025-01-10,1.5 km,West Rajasthan
Western Disturbances (WD),2025-01-11,3.1 km to 9.4 km,Central Pakistan
Induced Cyclonic Circulation,2025-01-11,1.5 km,West Rajasthan
Trough,2025-01-11,1.5 km,West Rajasthan ; NE Arabian Sea
Cyclonic Circulation (CYCIR),2025-01-11,3.1 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-11,3.1 km,SW Bay ; SE Bay
Western Disturbances (WD),2025-01-12,3.1 km to 9.4 km,Punjab
Induced Cyclonic Circulation,2025-01-12,1.5 km,West Rajasthan ; East Rajasthan
Cyclonic Circulation (CYCIR),2025-01-12,1.5 km,SW Bay
Cyclonic Circulation (CYCIR),2025-01-13,0.9 km,Comorin Area
Cyclonic Circulation (CYCIR),2025-01-13,1.5 km,Bangladesh
Cyclonic Circulation (CYCIR),2025-01-14,0.9 km,SE Arabian Sea
Western Disturbances (WD),2025-01-14,3.1 km to 7.6 km,Iran
Western Disturbances (WD),2025-01-15,3.1 km,North pakistan
Induced Cyclonic Circulation,2025-01-15,1.5 km,Punjab ; Pakistan
Cyclonic Circulation (CYCIR),2025-01-15,1.5 km,West Rajasthan
Western Disturbances (WD),2025-01-16,3.1 km to 4.5 km,North pakistan
Induced Cyclonic Circulation,2025-01-16,1.5 km,"Haryana, Chandigarh & Delhi"
Upper-Level Cyclonic Circulation,2025-01-16,1.5 km,SE Arabian Sea ; Kerala
Western Disturbances (WD),2025-01-17,3.1 km,West Uttar Pradesh
Western Disturbances (WD),2025-01-17,3.1 km,Far West Pakistan ; Southwest Pakistan
Cyclonic Circulation (CYCIR),2025-01-17,3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-01-18,3.1 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2025-01-18,3.1 km,Assam & Meghalaya
Easterly Trough,2025-01-18,0.9 km,Gujarat Region ; Saurashtra & Kutch ; West Rajasthan ; East Rajasthan
Easterly Trough,2025-01-18,0.9 km,SW Bay ; Tamil Nadu & Puducherry
Western Disturbances (WD),2025-01-19,3.1 km,West Pakistan
Induced Cyclonic Circulation,2025-01-19,1.5 km,West Rajasthan ; Pakistan
Western Disturbances (WD),2025-01-19,5.8 km,Far West Pakistan
Trough,2025-01-19,0.9 km,West Uttar Pradesh ; West Rajasthan
Cyclonic Circulation (CYCIR),2025-01-19,3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-01-20,3.1 km,North pakistan
Induced Cyclonic Circulation,2025-01-20,1.5 km,West Rajasthan ; Pakistan
Western Disturbances (WD),2025-01-20,5.8 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2025-01-20,3.1 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-20,5.8 km,Gulf of Mannar
Western Disturbances (WD),2025-01-22,3.1 km,Punjab
Westerly Trough,2025-01-22,5.8 km,North Pakistan ; Jammu & Kashmir ; Punjab ; Central Pakistan ; Haryana
Western Disturbances (WD),2025-01-22,5.8 km,West Pakistan
Induced Cyclonic Circulation,2025-01-22,1.5 km,"Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),2025-01-22,0.9 km,East Rajasthan
Western Disturbances (WD),2025-01-23,3.1 km,North pakistan
Cyclonic Circulation (CYCIR),2025-01-23,0.9 km,West Madhya Pradesh
Cyclonic Circulation (CYCIR),2025-01-23,1.5 km,Bangladesh
Cyclonic Circulation (CYCIR),2025-01-23,0.9 km,SE Arabian Sea ; Kerala
Cyclonic Circulation (CYCIR),2025-01-24,3.1 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-24,3.1 km,S Andaman Sea
Western Disturbances (WD),2025-01-24,3.1 km,North pakistan
Cyclonic Circulation (CYCIR),2025-01-25,3.1 km,Assam & Meghalaya
Easterly Trough,2025-01-25,1.5 km,NE Arabian Sea ; West Rajasthan ; East Rajasthan ; Gujarat Region
Cyclonic Circulation (CYCIR),2025-01-28,1.5 km to 3.1 km,Bangladesh
Western Disturbances (WD),2025-01-28,3.1 km to 9.4 km,Iran
Cyclonic Circulation (CYCIR),2025-01-29,1.5 km to 3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-01-29,3.1 km,west Afghanistan & neighbourhood
Westerly Trough,2025-01-29,5.8 km,Southwest Pakistan ; West Pakistan ; Central Pakistan ; Far West Pakistan ; South Pakistan
Cyclonic Circulation (CYCIR),2025-01-29,1.5 km,"Haryana, Chandigarh & Delhi"
Western Disturbances (WD),2025-01-31,3.1 km to 4.5 km,North pakistan
Cyclonic Circulation (CYCIR),2025-01-31,1.5 km,Assam & Meghalaya
Induced Cyclonic Circulation,2025-01-31,1.5 km,"Haryana, Chandigarh & Delhi"
Western Disturbances (WD),2025-01-31,5.8 km,Southwest Pakistan
Easterly Trough,2025-01-31,0.9 km,SW Bay
Cyclonic Circulation (CYCIR),2025-01-31,0.9 km,Kerala
Western Disturbances (WD),2025-01-21,3.1 km,North pakistan
Westerly Trough,2025-01-21,5.8 km,Central Pakistan ; North Pakistan ; West Pakistan
Western Disturbances (WD),2025-01-21,5.8 km,Far West Pakistan
Induced Cyclonic Circulation,2025-01-21,1.5 km,West Rajasthan
Cyclonic Circulation (CYCIR),2025-01-21,1.5 km to 3.1 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-01-21,0.9 km,West Rajasthan
Western Disturbances (WD),2025-01-21,5.8 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2025-01-27,1.5 km,Bangladesh
Cyclonic Circulation (CYCIR),2025-01-30,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-01-30,3.1 km,east Afghanistan & neighbourhood
Westerly Trough,2025-01-30,5.8 km,North Pakistan ; West Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Induced Cyclonic Circulation,2025-01-30,1.5 km,West Rajasthan
Easterly Trough,2025-01-30,0.9 km,SW Bay
Western Disturbances (WD),2025-02-01,3.1 km to 7.6 km,North pakistan
Induced Cyclonic Circulation,2025-02-01,1.5 km,East Rajasthan
Cyclonic Circulation (CYCIR),2025-02-01,3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-02,3.1 km to 5.8 km,North pakistan
Induced Cyclonic Circulation,2025-02-02,1.5 km,East Rajasthan
Western Disturbances (WD),2025-02-02,3.1 km to 7.6 km,Iran
Cyclonic Circulation (CYCIR),2025-02-02,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-03,3.1 km to 9.4 km,Iran
Cyclonic Circulation (CYCIR),2025-02-03,0.9 km,Gujarat Region
Cyclonic Circulation (CYCIR),2025-02-03,1.5 km,Bangladesh
Western Disturbances (WD),2025-02-05,5.8 km,Central Pakistan ; West Rajasthan ; North Pakistan ; South Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),2025-02-05,1.5 km,Bangladesh
Cyclonic Circulation (CYCIR),2025-02-05,3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-06,3.1 km,North pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),2025-02-06,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-07,3.1 km,Far West Pakistan ; Southwest Pakistan
Cyclonic Circulation (CYCIR),2025-02-07,1.5 km to 3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-07,3.1 km,North pakistan ; Jammu & Kashmir
Western Disturbances (WD),2025-02-09,3.1 km to 5.8 km,north Afghanistan & neighbourhood
Cyclonic Circulation (CYCIR),2025-02-09,1.5 km,Bangladesh
Induced Cyclonic Circulation,2025-02-09,1.5 km,West Rajasthan
Western Disturbances (WD),2025-02-10,3.1 km to 5.8 km,north Afghanistan & neighbourhood
Cyclonic Circulation (CYCIR),2025-02-10,1.5 km,Bangladesh
Cyclonic Circulation (CYCIR),2025-02-10,1.5 km to 3.1 km,Assam & Meghalaya
Induced Cyclonic Circulation,2025-02-10,1.5 km,West Rajasthan
Western Disturbances (WD),2025-02-11,3.1 km,North pakistan
Cyclonic Circulation (CYCIR),2025-02-11,1.5 km to 3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-12,3.1 km,Jammu & Kashmir
Cyclonic Circulation (CYCIR),2025-02-12,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-02-13,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-15,5.8 km,North Pakistan ; Jammu & Kashmir
Induced Cyclonic Circulation,2025-02-15,1.5 km,West Rajasthan ; Punjab ; Pakistan
Cyclonic Circulation (CYCIR),2025-02-15,1.5 km,"Nagaland, Manipur, Mizoram & Tripura"
Western Disturbances (WD),2025-02-16,5.8 km,North Pakistan
Induced Cyclonic Circulation,2025-02-16,1.5 km,"Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),2025-02-16,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-17,3.1 km,North Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),2025-02-17,0.9 km,West Madhya Pradesh
Cyclonic Circulation (CYCIR),2025-02-17,1.5 km to 3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-19,3.1 km,Jammu & Kashmir
Western Disturbances (WD),2025-02-19,3.1 km,Southwest Pakistan ; Far West Pakistan ; West Pakistan ; South Pakistan
Cyclonic Circulation (CYCIR),2025-02-19,1.5 km,Pakistan ; West Rajasthan
Trough,2025-02-19,0.9 km,Gangetic West Bengal ; Telangana
Cyclonic Circulation (CYCIR),2025-02-19,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-20,3.1 km to 4.5 km,North pakistan
Induced Cyclonic Circulation,2025-02-20,1.5 km,West Rajasthan
Trough,2025-02-20,1.5 km,Bangladesh ; Gangetic West Bengal ; Odisha ; Chhattisgarh ; Telangana
Cyclonic Circulation (CYCIR),2025-02-20,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-20,3.1 km,Jammu & Kashmir
Cyclonic Circulation (CYCIR),2025-02-22,1.5 km,North pakistan ; Jammu & Kashmir
Westerly Trough,2025-02-22,0.9 km,Gangetic West Bengal ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2025-02-22,1.5 km,Assam & Meghalaya
Easterly Trough,2025-02-22,0.9 km,Kerala ; Madhya Maharashtra
Western Disturbances (WD),2025-02-23,3.1 km to 9.6 km,Iran
Cyclonic Circulation (CYCIR),2025-02-23,1.5 km,North pakistan
Westerly Trough,2025-02-23,0.9 km,Gangetic West Bengal ; Chhattisgarh ; Odisha
Cyclonic Circulation (CYCIR),2025-02-23,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-24,3.1 km,Iran
Cyclonic Circulation (CYCIR),2025-02-24,1.5 km,Pakistan
Cyclonic Circulation (CYCIR),2025-02-24,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-02-25,3.1 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2025-02-25,1.5 km,West Rajasthan ; Pakistan
Upper-Level Cyclonic Circulation,2025-02-25,1.5 km,Assam & Meghalaya
Upper-Level Cyclonic Circulation,2025-02-25,3.1 km,Kerala
Western Disturbances (WD),2025-02-26,3.1 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2025-02-26,0.9 km,West Rajasthan ; Pakistan
Western Disturbances (WD),2025-02-27,5.8 km,Far West Pakistan
Induced Cyclonic Circulation,2025-02-27,1.5 km,West Rajasthan
Trough,2025-02-27,1.5 km,West Rajasthan ; NE Arabian Sea
Western Disturbances (WD),2025-02-28,3.1 km,Southwest Pakistan
Induced Low,2025-02-28,1.5 km,West Rajasthan ; Pakistan
Trough,2025-02-28,0.9 km,West Rajasthan ; Pakistan ; Madhya Maharashtra ; Gujarat Region
Cyclonic Circulation (CYCIR),2025-02-28,3.1 km,Assam & Meghalaya ; Arunachal Pradesh
Western Disturbances (WD),2025-02-04,3.1 km,West Pakistan ; Southwest Pakistan ; South Pakistan
Induced Cyclonic Circulation,2025-02-04,1.5 km,West Rajasthan ; Central Pakistan
Trough,2025-02-04,1.5 km,West Rajasthan ; Central Pakistan ; NE Arabian Sea ; Gujarat Region
Cyclonic Circulation (CYCIR),2025-02-04,0.9 km,West Rajasthan ; East Rajasthan
Cyclonic Circulation (CYCIR),2025-02-04,1.5 km,Bangladesh
Western Disturbances (WD),2025-02-18,5.8 km,West Pakistan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir
Western Disturbances (WD),2025-02-18,3.1 km,North pakistan
Induced Cyclonic Circulation,2025-02-18,1.5 km,West Rajasthan
Western Disturbances (WD),2025-02-18,5.8 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2025-02-18,1.5 km,Assam & Meghalaya
Induced Cyclonic Circulation,2025-02-21,1.5 km,"Haryana, Chandigarh & Delhi"
Easterly Trough,2025-02-21,0.9 km,Rayalaseema ; Chhattisgarh
Cyclonic Circulation (CYCIR),2025-02-21,1.5 km,"Nagaland, Manipur, Mizoram & Tripura"
Western Disturbances (WD),2025-02-21,3.1 km to 4.5 km,North pakistan
Westerly Trough,2025-02-21,5.8 km,North Pakistan
Western Disturbances (WD),2025-03-01,3.1 km,Southwest Pakistan ; West Pakistan ; Central Pakistan ; Far West Pakistan ; South Pakistan
Upper-Level Cyclonic Circulation,2025-03-01,1.5 km,East Uttar Pradesh
Trough,2025-03-01,0.9 km,East Uttar Pradesh ; Madhya Maharashtra
Trough,2025-03-01,3.1 km,Assam & Meghalaya ; Arunachal Pradesh
Upper-Level Cyclonic Circulation,2025-03-01,0.9 km,SW Bay
Easterly Trough,2025-03-01,0.9 km,SW Bay ; Lakshadweep
Western Disturbances (WD),2025-03-02,5.8 km,Far West Pakistan
Upper-Level Cyclonic Circulation,2025-03-02,5.8 km,Comorin Area
Easterly Trough,2025-03-02,0.9 km,Comorin Area ; Lakshadweep
Cyclonic Circulation (CYCIR),2025-03-02,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-03-02,3.1 km,Southwest Pakistan ; West Pakistan ; Central Pakistan ; Far West Pakistan ; South Pakistan
Western Disturbances (WD),2025-03-03,5.8 km,Southwest Pakistan
Upper-Level Cyclonic Circulation,2025-03-03,5.8 km,west Equatorial Indian Ocean & adjoining Maldives area
Cyclonic Circulation (CYCIR),2025-03-03,0.9 km,Gulf of Mannar
Cyclonic Circulation (CYCIR),2025-03-03,3.1 km,Assam & Meghalaya
Western Disturbances (WD),2025-03-04,3.1 km,North pakistan
Cyclonic Circulation (CYCIR),2025-03-04,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-03-05,1.5 km,Assam & Meghalaya
Western Disturbances (WD),2025-03-05,3.1 km,North pakistan
Cyclonic Circulation (CYCIR),2025-03-06,1.5 km,Assam & Meghalaya
Trough,2025-03-06,1.5 km,Bihar ; Jharkhand ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; East Uttar Pradesh
Trough,2025-03-07,1.5 km,Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland-Manipur-Mizoram-Tripura
Cyclonic Circulation (CYCIR),2025-03-08,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2025-03-08,0.9 km,Tamil Nadu & Puducherry
Western Disturbances (WD),2025-03-09,3.1 km to 9.6 km,Iraq
Upper-Level Cyclonic Circulation,2025-03-09,5.8 km,SE Bay
Upper-Level Cyclonic Circulation,2025-03-09,1.5 km,Bangladesh
Western Disturbances (WD),2025-03-10,5.8 km to 9.6 km,Iran
Cyclonic Circulation (CYCIR),2025-03-10,1.5 km,West Rajasthan
