weather system,date,heightAboveMSL,Regions
Mean Sea Level Trough,2020-07-01,Surface,West Rajasthan ; West Madhya Pradesh ; East Uttar Pradesh ; Bihar ; Gangetic West Bengal
Cyclonic Circulation (CYCIR),2020-07-01,1.5 km to 3.1 km,WC Arabian Sea
Cyclonic Circulation (CYCIR),2020-07-01,1.5 km to 5.8 km,Gujarat Region
Cyclonic Circulation (CYCIR),2020-07-01,0.9 km,West Rajasthan
Cyclonic Circulation (CYCIR),2020-07-01,0.9 km,Odisha
Trough,2020-07-01,0.9 km,West Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha
Cyclonic Circulation (CYCIR),2020-07-01,1.5 km to 4.5 km,East Uttar Pradesh
Trough,2020-07-01,1.5 km to 3.1 km,East Uttar Pradesh ; East Madhya Pradesh ; Vidarbha
Mean Sea Level Trough,2020-07-02,Surface,"West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Nagaland, Manipur, Mizoram & Tripura"
Cyclonic Circulation (CYCIR),2020-07-02,5.8 km,WC Arabian Sea ; NW Arabian Sea
Cyclonic Circulation (CYCIR),2020-07-02,3.1 km to 7.6 km,Gujarat Region
Cyclonic Circulation (CYCIR),2020-07-02,3.6 km to 5.8 km,Odisha
Cyclonic Circulation (CYCIR),2020-07-02,1.5 km to 3.6 km,East Uttar Pradesh
Trough,2020-07-02,3.1 km to 3.6 km,East Uttar Pradesh ; Vidarbha ; East Madhya Pradesh
Cyclonic Circulation (CYCIR),2020-07-03,5.8 km,WC Arabian Sea ; NW Arabian Sea
Cyclonic Circulation (CYCIR),2020-07-03,3.1 km,Gujarat Region
Cyclonic Circulation (CYCIR),2020-07-03,1.5 km to 3.1 km,East Uttar Pradesh
Trough,2020-07-03,1.5 km to 3.1 km,East Uttar Pradesh ; East Madhya Pradesh ; Vidarbha
Cyclonic Circulation (CYCIR),2020-07-03,3.1 km,WC Bay ; Coastal Andhra Pradesh
