weather system,date,heightAboveMSL,Regions,subdivisions
Western Disturbances (WD),01-04-2024,3.1 km,West Uttar Pradesh,West Uttar Pradesh
Trough,01-04-2024,0.9 km,Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka ; Vidarbha ; East Madhya Pradesh,Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka ; Vidarbha ; East Madhya Pradesh
Cyclonic Circulation (CYCIR),01-04-2024,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Cyclonic Circulation (CYCIR),01-04-2024,0.9 km,Bihar,Bihar
Trough,02-04-2024,0.9 km,Tamil Nadu & Puducherry ; Vidarbha ; South Interior Karnataka ; North Interior Karnataka ; Marathwada,Tamil Nadu & Puducherry ; Vidarbha ; South Interior Karnataka ; North Interior Karnataka ; Marathwada
Western Disturbances (WD),02-04-2024,5.8 km,Southwest Pakistan ; Far West Pakistan ; West Pakistan ; South Pakistan,Southwest Pakistan ; Far West Pakistan ; West Pakistan ; South Pakistan
Cyclonic Circulation (CYCIR),02-04-2024,0.9 km,Bangladesh,Bangladesh
Trough,02-04-2024,0.9 km,Bangladesh ; Arunachal Pradesh ; Assam & Meghalaya,Bangladesh ; Arunachal Pradesh ; Assam & Meghalaya
Cyclonic Circulation (CYCIR),02-04-2024,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),03-04-2024,5.8 km,West Pakistan,West Pakistan
Trough,03-04-2024,0.9 km,Tamil Nadu & Puducherry ; Vidarbha ; South Interior Karnataka ; North Interior Karnataka ; Marathwada,Tamil Nadu & Puducherry ; Vidarbha ; South Interior Karnataka ; North Interior Karnataka ; Marathwada
Cyclonic Circulation (CYCIR),03-04-2024,0.9 km,Bangladesh,Bangladesh
Cyclonic Circulation (CYCIR),03-04-2024,0.9 km,West Rajasthan ; Pakistan,West Rajasthan ; Pakistan
Cyclonic Circulation (CYCIR),03-04-2024,0.9 km,Odisha,Odisha
Cyclonic Circulation (CYCIR),03-04-2024,0.9 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),04-04-2024,5.8 km,West Pakistan,West Pakistan
Cyclonic Circulation (CYCIR),04-04-2024,0.9 km,Bangladesh,Bangladesh
Trough,04-04-2024,0.9 km,Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka ; East Madhya Pradesh ; West Madhya Pradesh ; Vidarbha,Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka ; East Madhya Pradesh ; West Madhya Pradesh ; Vidarbha
Cyclonic Circulation (CYCIR),04-04-2024,0.9 km,East Rajasthan,East Rajasthan
Cyclonic Circulation (CYCIR),04-04-2024,1.5 km to 3.1 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),05-04-2024,3.1 km,North pakistan,North pakistan
Westerly Trough,05-04-2024,5.8 km,Central Pakistan ; North Pakistan ; South Pakistan ; West Pakistan,Central Pakistan ; North Pakistan ; South Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),05-04-2024,0.9 km,Bangladesh,Bangladesh
Trough,05-04-2024,0.9 km,Vidarbha ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Comorin Area,Vidarbha ; North Interior Karnataka ; South Interior Karnataka ; Tamil Nadu & Puducherry ; Comorin Area
Cyclonic Circulation (CYCIR),05-04-2024,1.5 km to 3.1 km,Assam & Meghalaya,Assam & Meghalaya
Western Disturbances (WD),06-04-2024,3.1 km,West Uttar Pradesh,West Uttar Pradesh
Westerly Trough,06-04-2024,5.8 km,North Pakistan ; Jammu & Kashmir ; Punjab ; Haryana ; Central Pakistan,North Pakistan ; Jammu & Kashmir ; Punjab ; Haryana ; Central Pakistan
Cyclonic Circulation (CYCIR),06-04-2024,0.9 km,Bangladesh,Bangladesh
