weather system,date,heightAboveMSL,Regions
Cyclonic Circulation (CYCIR),01-10-2024,1.5 km,Comorin Area
Trough,01-10-2024,0.9 km,Comorin Area ; North Interior Karnataka ; Tamil Nadu & Puducherry
Trough,01-10-2024,3.1 km,Konkan & Goa ; East Madhya Pradesh ; Madhya Maharashtra ; Marathwada
Cyclonic Circulation (CYCIR),01-10-2024,4.5 km,Assam & Meghalaya
Trough,02-10-2024,1.5 km,Bangladesh ; N Andaman Sea
Cyclonic Circulation (CYCIR),02-10-2024,4.5 km,Maldives & neighbourhood
Trough,03-10-2024,0.9 km,Bihar ; N Andaman Sea ; Bangladesh ; EC Bay
Cyclonic Circulation (CYCIR),03-10-2024,4.5 km,Lakshadweep
Low Pressure (L) with associated CYCIR,04-10-2024,5.8 km,NW Bay ; NE Bay ; Bangladesh ; Gangetic West Bengal
Cyclonic Circulation (CYCIR),04-10-2024,1.5 km,SE Arabian Sea
Trough,04-10-2024,0.9 km,SE Arabian Sea ; Kerala
Upper-Level Cyclonic Circulation,04-10-2024,5.8 km,Bangladesh ; Sub-Himalayan West Bengal & Sikkim
Trough,04-10-2024,0.9 km,East Uttar Pradesh ; West Uttar Pradesh ; Bangladesh ; Sub-Himalayan West Bengal & Sikkim ; Bihar
Upper-Level Cyclonic Circulation,04-10-2024,1.5 km,WC Bay ; SW Bay ; SE Bay
Cyclonic Circulation (CYCIR),05-10-2024,3.1 km,Gangetic West Bengal
Upper-Level Cyclonic Circulation,05-10-2024,1.5 km to 4.5 km,WC Bay
Cyclonic Circulation (CYCIR),05-10-2024,1.5 km,North pakistan ; Punjab
Cyclonic Circulation (CYCIR),05-10-2024,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),06-10-2024,3.1 km,Gangetic West Bengal
Trough,06-10-2024,0.9 km,"Jharkhand ; Nagaland, Manipur, Mizoram & Tripura ; Gangetic West Bengal"
Upper-Level Cyclonic Circulation,06-10-2024,1.5 km to 5.8 km,SW Bay ; WC Bay ; Tamil Nadu & Puducherry ; Coastal Andhra Pradesh
Trough,06-10-2024,0.9 km,SE Arabian Sea ; Rayalaseema ; Kerala ; South Interior Karnataka
Cyclonic Circulation (CYCIR),06-10-2024,1.5 km to 3.1 km,North pakistan ; Punjab
Western Disturbances (WD),06-10-2024,5.8 km,North Pakistan
Cyclonic Circulation (CYCIR),07-10-2024,1.5 km,Kerala
Trough,07-10-2024,1.5 km,SW Bay ; Lakshadweep ; Tamil Nadu & Puducherry ; Kerala
Cyclonic Circulation (CYCIR),07-10-2024,1.5 km,Bangladesh ; Assam & Meghalaya
Western Disturbances (WD),07-10-2024,5.8 km,Southwest Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),08-10-2024,5.8 km,Lakshadweep ; SE Arabian Sea
Trough,08-10-2024,1.5 km,Tamil Nadu & Puducherry ; Kerala ; Lakshadweep ; SE Arabian Sea
Western Disturbances (WD),08-10-2024,1.5 km to 7.6 km,west Afghanistan & neighbourhood
Low Pressure (L) with associated CYCIR,09-10-2024,5.8 km,Lakshadweep ; SE Arabian Sea ; EC Arabian Sea
Trough,09-10-2024,1.5 km,Comorin Area ; Konkan & Goa
Cyclonic Circulation (CYCIR),09-10-2024,5.8 km,Sri Lanka & neighbourhood
Western Disturbances (WD),09-10-2024,3.1 km to 7.6 km,east Afghanistan & neighbourhood
Cyclonic Circulation (CYCIR),09-10-2024,1.5 km,Assam & Meghalaya
Well Marked Low Pressure Area (WML) with associated CYCIR,10-10-2024,5.8 km,EC Arabian Sea ; Konkan & Goa
