weather system,date,heightAboveMSL,Regions
Low Pressure (L) with associated CYCIR,2020-10-01,7.6 km,WC Bay ; NW Bay ; Coastal Andhra Pradesh ; Odisha
Cyclonic Circulation (CYCIR),2020-10-01,3.1 km to 5.8 km,NE Arabian Sea ; EC Arabian Sea ; Gujarat Region ; Madhya Maharashtra
Western Disturbances (WD),2020-10-01,5.8 km,West Pakistan ; North Pakistan ; Central Pakistan
Western Disturbances (WD),2020-10-18,5.8 km,northern parts of Afghanistan and neighbourhood
Cyclonic Circulation (CYCIR),2020-10-18,1.5 km,WC Bay ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2020-10-18,2.1 km to 5.8 km,EC Bay
Low Pressure (L) with associated CYCIR,2020-10-02,5.8 km,NW Bay ; WC Bay ; Odisha ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2020-10-02,3.1 km to 4.5 km,EC Arabian Sea
Western Disturbances (WD),2020-10-02,5.8 km,West Pakistan ; North Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),2020-10-02,7.6 km,Chhattisgarh
Cyclonic Circulation (CYCIR),2020-10-02,1.5 km,Assam & Meghalaya
Low Pressure (L) with associated CYCIR,2020-10-03,5.8 km,NW Bay ; Odisha
Cyclonic Circulation (CYCIR),2020-10-03,1.5 km to 3.1 km,EC Arabian Sea ; Madhya Maharashtra
Cyclonic Circulation (CYCIR),2020-10-03,7.6 km,Odisha
Cyclonic Circulation (CYCIR),2020-10-03,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2020-10-03,1.5 km to 4.5 km,Gulf of Thailand and neighbourhood
Western Disturbances (WD),2020-10-03,5.8 km,West Pakistan ; South Pakistan
Low Pressure (L) with associated CYCIR,2020-10-04,5.8 km,NW Bay ; Odisha
Cyclonic Circulation (CYCIR),2020-10-04,1.5 km to 3.1 km,EC Arabian Sea ; Konkan & Goa
Cyclonic Circulation (CYCIR),2020-10-04,1.5 km to 4.5 km,Gulf of Thailand and neighbourhood
Low Pressure (L) with associated CYCIR,2020-10-05,5.8 km,NW Bay ; Odisha
Trough,2020-10-05,1.5 km,Chhattisgarh ; Vidarbha ; Madhya Maharashtra
Cyclonic Circulation (CYCIR),2020-10-05,3.1 km,West Uttar Pradesh
Cyclonic Circulation (CYCIR),2020-10-06,5.8 km,Odisha
Trough,2020-10-06,3.1 km,Odisha ; Madhya Maharashtra ; Konkan & Goa ; Vidarbha ; Gujarat Region
Trough,2020-10-06,1.5 km,Odisha ; Gangetic West Bengal ; Bihar
Cyclonic Circulation (CYCIR),2020-10-06,3.1 km,East Uttar Pradesh ; West Uttar Pradesh
Cyclonic Circulation (CYCIR),2020-10-07,3.1 km,Coastal Andhra Pradesh
Trough,2020-10-07,3.1 km,Coastal Andhra Pradesh ; Odisha ; Gangetic West Bengal
Trough,2020-10-07,0.9 km,Tamil Nadu & Puducherry ; Rayalaseema ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2020-10-08,1.5 km to 3.1 km,Coastal Andhra Pradesh
Trough,2020-10-08,1.5 km to 2.1 km,Coastal Andhra Pradesh ; Sub-Himalayan West Bengal & Sikkim ; Odisha
Cyclonic Circulation (CYCIR),2020-10-08,0.9 km,Telangana
Trough,2020-10-08,0.9 km,Telangana ; Tamil Nadu & Puducherry ; Rayalaseema
Cyclonic Circulation (CYCIR),2020-10-09,1.5 km,Rayalaseema ; Coastal Andhra Pradesh
Trough,2020-10-09,0.9 km,Rayalaseema ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2020-10-10,1.5 km,Coastal Andhra Pradesh
Western Disturbances (WD),2020-10-10,5.8 km,North Pakistan
Cyclonic Circulation (CYCIR),2020-10-10,3.1 km,North Interior Karnataka
Western Disturbances (WD),2020-10-11,5.8 km,North Pakistan
Cyclonic Circulation (CYCIR),2020-10-11,3.1 km,North Interior Karnataka
Trough,2020-10-12,3.1 km to 5.8 km,EC Arabian Sea ; Coastal Andhra Pradesh ; Rayalaseema ; North Interior Karnataka ; Coastal Karnataka
Western Disturbances (WD),2020-10-12,5.8 km,West Pakistan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir
Trough,2020-10-13,3.1 km to 5.8 km,Coastal Andhra Pradesh ; Rayalaseema ; Coastal Karnataka ; North Interior Karnataka ; EC Arabian Sea
Western Disturbances (WD),2020-10-13,2.1 km to 5.8 km,Jammu & Kashmir
Cyclonic Circulation (CYCIR),2020-10-13,0.9 km to 2.1 km,EC Arabian Sea ; Konkan & Goa ; Madhya Maharashtra
Trough,2020-10-14,3.1 km to 5.8 km,WC Bay ; EC Arabian Sea ; Coastal Andhra Pradesh ; Telangana ; North Interior Karnataka ; Madhya Maharashtra ; Marathwada
Western Disturbances (WD),2020-10-14,2.1 km to 5.8 km,Jammu & Kashmir
Well Marked Low Pressure Area (WML) with associated CYCIR,2020-10-15,1.5 km to 3.1 km,Madhya Maharashtra ; Konkan & Goa
Western Disturbances (WD),2020-10-15,3.1 km,Jammu & Kashmir
Well Marked Low Pressure Area (WML) with associated CYCIR,2020-10-16,1.5 km to 2.1 km,EC Arabian Sea
Western Disturbances (WD),2020-10-16,3.1 km,Jammu & Kashmir
Western Disturbances (WD),2020-10-17,5.8 km,northern parts of Afghanistan & neighbourhood
Cyclonic Circulation (CYCIR),2020-10-17,5.8 km,WC Bay ; Coastal Andhra Pradesh
Well Marked Low Pressure Area (WML) with associated CYCIR,2020-10-19,3.1 km,WC Arabian Sea
Western Disturbances (WD),2020-10-19,3.1 km to 4.5 km,North pakistan
Westerly Trough,2020-10-19,5.8 km,North Pakistan ; Central Pakistan ; South Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),2020-10-19,5.8 km,WC Bay
Trough,2020-10-19,1.5 km to 5.8 km,WC Bay
Cyclonic Circulation (CYCIR),2020-10-19,1.5 km,Assam & Meghalaya
Well Marked Low Pressure Area (WML) with associated CYCIR,2020-10-21,1.5 km to 5.8 km,WC Bay
Cyclonic Circulation (CYCIR),2020-10-21,1.5 km,WC Arabian Sea ; NW Arabian Sea
Western Disturbances (WD),2020-10-21,4.5 km to 5.8 km,North pakistan ; Jammu & Kashmir
Depression (D),2020-10-22,5.8 km,NW Bay ; WC Bay
Cyclonic Circulation (CYCIR),2020-10-22,1.5 km,SW Arabian Sea ; WC Arabian Sea
Western Disturbances (WD),2020-10-22,5.8 km,North pakistan ; Jammu & Kashmir
Trough,2020-10-22,1.5 km to 5.8 km,Far West Pakistan ; Southwest Pakistan ; West Pakistan ; South Pakistan ; Saurashtra & Kutch
Cyclonic Circulation (CYCIR),2020-10-22,1.5 km,West Rajasthan
Cyclonic Circulation (CYCIR),2020-10-23,1.5 km,SW Arabian Sea
Western Disturbances (WD),2020-10-23,3.1 km to 3.6 km,Punjab
Trough,2020-10-23,1.5 km to 3.6 km,Far West Pakistan ; Southwest Pakistan ; West Pakistan ; South Pakistan ; Saurashtra & Kutch
Western Disturbances (WD),2020-10-23,5.8 km,West Pakistan
Well Marked Low Pressure Area (WML) with associated CYCIR,2020-10-24,4.5 km,Bangladesh
Cyclonic Circulation (CYCIR),2020-10-24,3.1 km,SW Arabian Sea
Cyclonic Circulation (CYCIR),2020-10-24,0.9 km to 3.1 km,EC Arabian Sea ; Coastal Karnataka
Cyclonic Circulation (CYCIR),2020-10-24,1.5 km to 3.1 km,SW Bay
Western Disturbances (WD),2020-10-24,3.1 km to 3.6 km,West Uttar Pradesh
Western Disturbances (WD),2020-10-24,5.8 km,North Pakistan ; Central Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),2020-10-25,2.1 km,EC Arabian Sea ; Coastal Karnataka
Cyclonic Circulation (CYCIR),2020-10-25,3.1 km,SW Arabian Sea
Cyclonic Circulation (CYCIR),2020-10-25,3.1 km,SW Bay
Western Disturbances (WD),2020-10-25,3.1 km,West Uttar Pradesh
Western Disturbances (WD),2020-10-25,5.8 km,West Rajasthan ; North Pakistan ; Central Pakistan ; South Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),2020-10-26,1.5 km,Assam & Meghalaya
Cyclonic Circulation (CYCIR),2020-10-26,3.1 km,EC Arabian Sea
Cyclonic Circulation (CYCIR),2020-10-26,3.1 km,SW Arabian Sea
Cyclonic Circulation (CYCIR),2020-10-26,3.1 km,SE Bay ; EC Bay
Trough,2020-10-26,1.5 km,SE Bay ; EC Bay ; SW Bay ; Tamil Nadu & Puducherry
Western Disturbances (WD),2020-10-26,3.1 km,Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Gangetic West Bengal ; Assam & Meghalaya ; Bihar
Western Disturbances (WD),2020-10-26,5.8 km,Jammu & Kashmir ; Punjab ; Haryana ; Himachal Pradesh ; Ladakh
Cyclonic Circulation (CYCIR),2020-10-27,0.9 km,EC Arabian Sea
Cyclonic Circulation (CYCIR),2020-10-27,3.1 km,SW Arabian Sea
Cyclonic Circulation (CYCIR),2020-10-27,1.5 km,WC Bay ; SE Bay
Westerly Trough,2020-10-27,3.1 km,Sub-Himalayan West Bengal & Sikkim ; Assam & Meghalaya ; Bihar
Western Disturbances (WD),2020-10-27,5.8 km,Far West Pakistan
Cyclonic Circulation (CYCIR),2020-10-27,3.1 km to 5.8 km,SW Bay ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2020-10-28,1.5 km,EC Arabian Sea
Cyclonic Circulation (CYCIR),2020-10-28,1.5 km,SW Arabian Sea
Cyclonic Circulation (CYCIR),2020-10-28,3.1 km,SW Bay ; Tamil Nadu & Puducherry
Western Disturbances (WD),2020-10-28,3.1 km,Afghanistan and neighbourhood
Westerly Trough,2020-10-28,5.8 km,West Pakistan ; Southwest Pakistan ; South Pakistan
Cyclonic Circulation (CYCIR),2020-10-29,3.6 km,Tamil Nadu & Puducherry ; Coastal Andhra Pradesh ; SW Bay
Cyclonic Circulation (CYCIR),2020-10-29,1.5 km,SW Arabian Sea
Cyclonic Circulation (CYCIR),2020-10-29,1.5 km,SW Arabian Sea ; WC Arabian Sea
Western Disturbances (WD),2020-10-29,3.1 km to 3.6 km,North pakistan
Westerly Trough,2020-10-29,5.8 km,North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Cyclonic Circulation (CYCIR),2020-10-30,4.5 km,Tamil Nadu & Puducherry ; SW Bay
Western Disturbances (WD),2020-10-30,5.8 km,North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Cyclonic Circulation (CYCIR),2020-10-30,1.5 km to 4.5 km,EC Bay ; N Andaman Sea
Cyclonic Circulation (CYCIR),2020-10-31,3.1 km to 3.6 km,Tamil Nadu & Puducherry ; SW Bay
Low Pressure (L) with associated CYCIR,2020-10-31,4.5 km,EC Bay
Trough,2020-10-31,1.5 km,EC Bay ; NE Bay ; Bangladesh
