weather system,date,heightAboveMSL,Regions
Western Disturbances (WD),2021-01-01,5.8 km to 7.6 km,Afghanistan and neighbourhood
Western Disturbances (WD),2021-01-01,3.1 km to 3.6 km,North pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),2021-01-01,1.5 km to 2.1 km,West Rajasthan
Western Disturbances (WD),2021-01-02,3.1 km to 7.6 km,Central Pakistan
Induced Cyclonic Circulation,2021-01-02,2.1 km,West Rajasthan
Western Disturbances (WD),2021-01-03,2.1 km to 7.6 km,Central Pakistan
Induced Cyclonic Circulation,2021-01-03,1.5 km,West Rajasthan
Cyclonic Circulation (CYCIR),2021-01-03,1.5 km,Bangladesh
Trough,2021-01-03,1.5 km,Punjab ; NE Arabian Sea ; Gujarat Region ; Saurashtra & Kutch ; West Rajasthan
Western Disturbances (WD),2021-01-04,2.1 km to 7.6 km,Central Pakistan
Induced Cyclonic Circulation,2021-01-04,1.5 km,West Rajasthan
Cyclonic Circulation (CYCIR),2021-01-04,1.5 km,Bangladesh
Trough,2021-01-04,1.5 km,Punjab ; NE Arabian Sea ; Gujarat Region ; West Rajasthan ; Saurashtra & Kutch
Western Disturbances (WD),2021-01-05,5.8 km,Central Pakistan
Westerly Trough,2021-01-05,7.6 km,South Pakistan ; West Pakistan ; Saurashtra & Kutch ; Central Pakistan ; Gujarat
Induced Cyclonic Circulation,2021-01-05,0.9 km,West Rajasthan
Cyclonic Circulation (CYCIR),2021-01-05,1.5 km,Assam & Meghalaya
Trough,2021-01-05,1.5 km,North pakistan ; WC Arabian Sea ; West Rajasthan ; Saurashtra & Kutch ; NE Arabian Sea
Western Disturbances (WD),2021-01-06,4.5 km,North pakistan
Westerly Trough,2021-01-06,5.8 km,North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Induced Cyclonic Circulation,2021-01-06,0.9 km,"Haryana, Chandigarh & Delhi"
Trough,2021-01-06,1.5 km,North pakistan ; West Rajasthan ; Saurashtra & Kutch ; Gujarat Region
Cyclonic Circulation (CYCIR),2021-01-06,4.5 km,SW Arabian Sea ; SE Arabian Sea
Westerly Trough,2021-01-07,5.8 km,Jammu & Kashmir ; North Pakistan ; Himachal Pradesh ; Ladakh
Western Disturbances (WD),2021-01-07,3.1 km to 7.6 km,western parts of Afghanistan and neighbourhood
