weather system,date,heightAboveMSL,Regions
Cyclonic Circulation (CYCIR),2021-10-13,4.5 km,EC Bay
Cyclonic Circulation (CYCIR),2021-10-13,5.8 km,EC Arabian Sea ; Coastal Karnataka
Trough,2021-10-13,0.9 km,EC Arabian Sea ; Coastal Karnataka ; Telangana
Trough,2021-10-13,4.5 km to 5.8 km,EC Arabian Sea ; Coastal Karnataka ; EC Bay
Western Disturbances (WD),2021-10-13,4.5 km,North pakistan
Westerly Trough,2021-10-13,5.8 km,North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Low Pressure (L) with associated CYCIR,2021-10-14,5.8 km,WC Bay ; EC Bay
Trough,2021-10-14,4.5 km to 5.8 km,EC Arabian Sea ; SE Arabian Sea ; Lakshadweep ; WC Bay ; EC Bay
Western Disturbances (WD),2021-10-14,3.1 km to 4.5 km,Punjab
Westerly Trough,2021-10-14,5.8 km,Jammu & Kashmir ; Punjab ; Haryana ; Delhi ; Himachal Pradesh
Low Pressure (L) with associated CYCIR,2021-10-15,5.8 km,WC Bay ; NW Bay ; Coastal Andhra Pradesh ; Odisha
Trough,2021-10-15,1.5 km to 5.8 km,N Andaman Sea ; WC Bay ; NW Bay ; Coastal Andhra Pradesh ; Odisha
Low Pressure (L) with associated CYCIR,2021-10-15,3.6 km,SE Arabian Sea ; Lakshadweep ; Kerala
Trough,2021-10-15,4.5 km to 5.8 km,Kerala ; Tamil Nadu & Puducherry ; South Interior Karnataka ; Rayalaseema
Western Disturbances (WD),2021-10-15,3.1 km,Southwest Pakistan
Low Pressure (L) with associated CYCIR,2021-10-16,5.8 km,Coastal Andhra Pradesh ; WC Bay
Trough,2021-10-16,1.5 km to 5.8 km,EC Bay ; N Andaman Sea ; Coastal Andhra Pradesh ; WC Bay
Low Pressure (L) with associated CYCIR,2021-10-16,4.5 km,SE Arabian Sea ; Kerala
Trough,2021-10-16,5.8 km,Far West Pakistan ; Southwest Pakistan ; West Pakistan ; South Pakistan ; Saurashtra & Kutch
Western Disturbances (WD),2021-10-16,1.5 km to 3.1 km,southern parts of Afghanistan and neighbourhood
