weather system,date,heightAboveMSL,Regions
Low Pressure (L) with associated CYCIR,2021-04-01,5.8 km,S Andaman Sea
Western Disturbances (WD),2021-04-01,3.1 km to 3.6 km,East Uttar Pradesh ; Bihar
Trough,2021-04-01,1.5 km,North Interior Karnataka ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2021-04-01,1.5 km to 3.6 km,Comorin Area
Cyclonic Circulation (CYCIR),2021-04-01,0.9 km,Assam & Meghalaya
Western Disturbances (WD),2021-04-02,3.1 km to 3.6 km,Sub-Himalayan West Bengal & Sikkim ; Bihar
Cyclonic Circulation (CYCIR),2021-04-02,1.5 km,Odisha
Cyclonic Circulation (CYCIR),2021-04-02,0.9 km,West Rajasthan
Cyclonic Circulation (CYCIR),2021-04-03,1.5 km,Chhattisgarh
Cyclonic Circulation (CYCIR),2021-04-03,0.9 km,East Rajasthan
Cyclonic Circulation (CYCIR),2021-04-03,2.1 km to 3.6 km,Konkan & Goa ; Madhya Maharashtra
Cyclonic Circulation (CYCIR),2021-04-03,2.1 km,Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),2021-04-03,1.5 km,Sri Lanka and neighbourhood
Cyclonic Circulation (CYCIR),2021-04-03,0.9 km,Jharkhand ; Gangetic West Bengal
Low Pressure (L) with associated CYCIR,2021-04-04,4.5 km,N Andaman Sea
Cyclonic Circulation (CYCIR),2021-04-04,2.1 km,Chhattisgarh
Cyclonic Circulation (CYCIR),2021-04-04,0.9 km,Jharkhand ; Gangetic West Bengal
Cyclonic Circulation (CYCIR),2021-04-04,0.9 km,West Rajasthan
Trough,2021-04-04,5.8 km to 7.6 km,Bihar ; Jharkhand ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; East Uttar Pradesh
Western Disturbances (WD),2021-04-04,3.1 km to 7.6 km,Far West Pakistan
Trough,2021-04-04,0.9 km,North Interior Karnataka ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2021-04-05,3.1 km,N Andaman Sea
Cyclonic Circulation (CYCIR),2021-04-05,2.1 km,West Rajasthan
Trough,2021-04-05,5.8 km to 7.6 km,Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; Bangladesh ; Assam & Meghalaya ; Bihar
Western Disturbances (WD),2021-04-05,3.1 km to 3.6 km,North pakistan ; Jammu & Kashmir
Trough,2021-04-05,0.9 km,Telangana ; Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2021-04-05,0.9 km,Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2021-04-05,3.1 km,Bangladesh
Western Disturbances (WD),2021-04-06,3.1 km,West Pakistan ; Southwest Pakistan ; South Pakistan
Cyclonic Circulation (CYCIR),2021-04-06,0.9 km,N Andaman Sea
Cyclonic Circulation (CYCIR),2021-04-06,2.1 km,Punjab
Westerly Trough,2021-04-06,3.1 km,Bihar ; East Uttar Pradesh ; Sub-Himalayan West Bengal & Sikkim
Cyclonic Circulation (CYCIR),2021-04-06,0.9 km,Comorin Area
Trough,2021-04-06,0.9 km,Comorin Area ; Tamil Nadu & Puducherry ; South Interior Karnataka ; North Interior Karnataka ; Marathwada
Western Disturbances (WD),2021-04-07,3.1 km,Jammu & Kashmir
Westerly Trough,2021-04-07,5.8 km,North Pakistan ; Jammu & Kashmir
Cyclonic Circulation (CYCIR),2021-04-07,0.9 km,West Uttar Pradesh
Cyclonic Circulation (CYCIR),2021-04-07,0.9 km,Comorin Area
Trough,2021-04-07,0.9 km,Comorin Area ; North Interior Karnataka
Cyclonic Circulation (CYCIR),2021-04-07,1.5 km,S Andaman Sea
Cyclonic Circulation (CYCIR),2021-04-07,0.9 km to 1.5 km,Jharkhand ; Chhattisgarh
Cyclonic Circulation (CYCIR),2021-04-07,0.9 km,West Rajasthan
Western Disturbances (WD),2021-04-08,7.6 km,Jammu & Kashmir ; North Pakistan ; Himachal Pradesh ; Ladakh
Cyclonic Circulation (CYCIR),2021-04-08,1.5 km,East Uttar Pradesh ; Bihar
Trough,2021-04-08,0.9 km,East Uttar Pradesh ; Bihar ; Vidarbha ; East Madhya Pradesh ; Chhattisgarh
Cyclonic Circulation (CYCIR),2021-04-08,1.5 km,Sri Lanka and neighbourhood
Western Disturbances (WD),2021-04-09,7.6 km,Jammu & Kashmir ; North Pakistan ; Himachal Pradesh ; Ladakh
Trough,2021-04-09,1.5 km,Bihar ; Jharkhand ; Gangetic West Bengal ; Sub-Himalayan West Bengal & Sikkim ; East Uttar Pradesh
Cyclonic Circulation (CYCIR),2021-04-09,0.9 km,Bihar ; East Uttar Pradesh
Cyclonic Circulation (CYCIR),2021-04-09,1.5 km,Tamil Nadu & Puducherry
Cyclonic Circulation (CYCIR),2021-04-09,1.5 km,West Madhya Pradesh ; East Madhya Pradesh
Cyclonic Circulation (CYCIR),2021-04-09,3.1 km to 5.8 km,SW Bay
Trough,2021-04-09,0.9 km,Vidarbha ; Telangana ; South Interior Karnataka ; North Interior Karnataka ; Rayalaseema ; Tamil Nadu & Puducherry
Western Disturbances (WD),2021-04-10,5.8 km,West Pakistan ; North Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),2021-04-10,0.9 km,Bihar ; Jharkhand
Cyclonic Circulation (CYCIR),2021-04-10,2.1 km,Comorin Area
Cyclonic Circulation (CYCIR),2021-04-10,1.5 km,West Madhya Pradesh
