weather system,date,heightAboveMSL,Regions
Trough,01-07-2022,1.5 km,"West Rajasthan ; NE Bay ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Jharkhand ; Gangetic West Bengal"
Offshore Trough,01-07-2022,Surface,Gujarat Region ; Konkan & Goa ; Madhya Maharashtra
Cyclonic Circulation (CYCIR),01-07-2022,3.1 km to 5.8 km,East Rajasthan
Trough,01-07-2022,3.1 km to 5.8 km,East Rajasthan ; WC Arabian Sea
Monsoon Trough with Extension and Tilt,02-07-2022,0.9 km,West Rajasthan ; East Rajasthan ; West Uttar Pradesh ; Jharkhand ; Gangetic West Bengal ; NE Bay
Offshore Trough,02-07-2022,Surface,Gujrat Region ; Konkan & Goa ; Madhya Maharashtra
Cyclonic Circulation (CYCIR),02-07-2022,1.5 km to 5.8 km,West Rajasthan ; East Rajasthan
Trough,02-07-2022,3.1 km to 5.8 km,West Rajasthan ; East Rajasthan ; WC Arabian Sea
Cyclonic Circulation (CYCIR),02-07-2022,5.8 km to 7.6 km,East Madhya Pradesh ; West Madhya Pradesh
Cyclonic Circulation (CYCIR),02-07-2022,7.6 km,Bangladesh
Cyclonic Circulation (CYCIR),03-07-2022,5.8 km,Jharkhand
Trough,03-07-2022,1.5 km to 5.8 km,West Rajasthan ; WC Arabian Sea
Low Pressure (L) with associated CYCIR,04-07-2022,5.8 km,Odisha ; Jharkhand ; Gangetic West Bengal
Trough,04-07-2022,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; Jharkhand ; Gangetic West Bengal ; EC Bay
Trough,04-07-2022,3.1 km,West Rajasthan ; WC Arabian Sea
Low Pressure (L) with associated CYCIR,05-07-2022,5.8 km,West Madhya Pradesh ; East Madhya Pradesh
Monsoon Trough with Extension and Tilt,05-07-2022,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Odisha ; EC Bay
Cyclonic Circulation (CYCIR),05-07-2022,4.5 km,NW Bay
Low Pressure (L) with associated CYCIR,06-07-2022,5.8 km,Saurashtra & Kutch
Monsoon Trough with Extension and Tilt,06-07-2022,1.5 km,Saurashtra & Kutch ; West Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay
Offshore Trough,06-07-2022,Surface,Gujarat Region ; Konkan & Goa ; Coastal Karnataka
Cyclonic Circulation (CYCIR),06-07-2022,1.5 km,Odisha ; Chhattisgarh
Well Marked Low Pressure Area (WML) with associated CYCIR,07-07-2022,5.8 km,Pakistan
Monsoon Trough with Extension and Tilt,07-07-2022,1.5 km,Pakistan ; Gujarat Region ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; SW Bay ; WC Bay ; EC Bay
Offshore Trough,07-07-2022,Surface,Madhya Maharashtra ; Konkan & Goa ; Coastal Karnataka ; Kerala
Cyclonic Circulation (CYCIR),07-07-2022,7.6 km,SW Bay ; WC Bay ; Odisha ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),08-07-2022,2.1 km,West Rajasthan
Monsoon Trough with Extension and Tilt,08-07-2022,1.5 km,West Rajasthan ; East Rajasthan ; East Madhya Pradesh ; Chhattisgarh ; Coastal Andhra Pradesh ; Odisha ; NW Bay ; WC Bay ; EC Bay
Offshore Trough,08-07-2022,Surface,Saurashtra & Kutch ; Gujarat Region ; Konkan & Goa ; Madhya Maharashtra ; Coastal Karnataka ; North Interior Karnataka ; South Interior Karnataka ; Kerala
Cyclonic Circulation (CYCIR),08-07-2022,7.6 km,NW Bay ; WC Bay ; Odisha ; Coastal Andhra Pradesh
Low Pressure (L) with associated CYCIR,09-07-2022,7.6 km,Odisha
Monsoon Trough with Extension and Tilt,09-07-2022,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Odisha ; EC Bay
Offshore Trough,09-07-2022,Surface,Gujarat Region ; Saurashtra & Kutch ; Konkan & Goa ; Coastal Karnataka ; North Interior Karnataka ; South Interior Karnataka
Low Pressure (L) with associated CYCIR,10-07-2022,7.6 km,Odisha ; Coastal Andhra Pradesh
Monsoon Trough with Extension and Tilt,10-07-2022,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Odisha ; Coastal Andhra Pradesh ; EC Bay
Offshore Trough,10-07-2022,Surface,Saurashtra & Kutch ; Gujarat Region ; Konkan & Goa ; Coastal Karnataka ; North Interior Karnataka ; South Interior Karnataka ; Kerala
Low Pressure (L) with associated CYCIR,11-07-2022,7.6 km,NW Bay ; Odisha
Monsoon Trough with Extension and Tilt,11-07-2022,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; NW Bay ; EC Bay
Offshore Trough,11-07-2022,Surface,Gujarat Region ; Saurashtra & Kutch ; Konkan & Goa ; Coastal Karnataka ; North Interior Karnataka ; South Interior Karnataka
Well Marked Low Pressure Area (WML) with associated CYCIR,12-07-2022,7.6 km,Odisha
Trough,12-07-2022,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay
Cyclonic Circulation (CYCIR),12-07-2022,1.5 km,Punjab
Well Marked Low Pressure Area (WML) with associated CYCIR,13-07-2022,7.6 km,Odisha
Monsoon Trough with Extension and Tilt,13-07-2022,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay
Cyclonic Circulation (CYCIR),13-07-2022,1.5 km,Pakistan
Well Marked Low Pressure Area (WML) with associated CYCIR,15-07-2022,7.6 km,NE Arabian Sea ; Saurashtra & Kutch
Low Pressure (L) with associated CYCIR,15-07-2022,7.6 km,Odisha
Monsoon Trough with Extension and Tilt,15-07-2022,1.5 km,NE Arabian Sea ; Saurashtra & Kutch ; West Madhya Pradesh ; East Madhya Pradesh ; Odisha ; EC Bay
Western Disturbances (WD),15-07-2022,3.1 km,North pakistan
Westerly Trough,15-07-2022,5.8 km,South Pakistan ; West Pakistan ; Central Pakistan
Offshore Trough,15-07-2022,Surface,Gujarat Region ; Saurashtra & Kutch ; Konkan & Goa ; Madhya Maharashtra
Low Pressure (L) with associated CYCIR,16-07-2022,7.6 km,NW Bay ; Odisha ; Gangetic West Bengal
Mean Sea Level Trough,16-07-2022,1.5 km,NE Arabian Sea ; Saurashtra & Kutch ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; NW Bay ; EC Bay
Westerly Trough,16-07-2022,5.8 km,North Pakistan ; Jammu & Kashmir
Offshore Trough,16-07-2022,Surface,Saurashtra & Kutch ; Gujarat Region ; Konkan & Goa ; Madhya Maharashtra
Low Pressure (L) with associated CYCIR,17-07-2022,7.6 km,Odisha
Trough,17-07-2022,1.5 km,NE Arabian Sea ; Saurashtra & Kutch ; Gujarat Region ; West Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay
Western Disturbances (WD),17-07-2022,5.8 km,Jammu & Kashmir ; North Pakistan ; Himachal Pradesh ; Ladakh
Offshore Trough,17-07-2022,Surface,Saurashtra & Kutch ; Gujarat Region ; Konkan & Goa ; Madhya Maharashtra
Well Marked Low Pressure Area (WML) with associated CYCIR,18-07-2022,5.8 km,NW Arabian Sea
Low Pressure (L) with associated CYCIR,18-07-2022,7.6 km,Vidarbha
Monsoon Trough with Extension and Tilt,18-07-2022,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; Vidarbha ; Chhattisgarh ; Odisha ; EC Bay
Western Disturbances (WD),18-07-2022,5.8 km,Jammu & Kashmir ; North Pakistan ; Himachal Pradesh ; Ladakh
Cyclonic Circulation (CYCIR),19-07-2022,3.1 km,Jharkhand
Cyclonic Circulation (CYCIR),20-07-2022,1.5 km to 5.8 km,Jharkhand ; Gangetic West Bengal
Western Disturbances (WD),20-07-2022,5.8 km,North pakistan
Trough,20-07-2022,1.5 km,South Interior Karnataka ; Comorin Area
