weather system,date,heightAboveMSL,Regions,subdivisions
Trough,01-10-2023,0.9 km,Gangetic West Bengal ; East Uttar Pradesh,Gangetic West Bengal ; East Uttar Pradesh
Western Disturbances (WD),01-10-2023,5.8 km,West Pakistan ; Central Pakistan,West Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),02-10-2023,4.5 km to 7.6 km,Madhya Maharashtra,Madhya Maharashtra
Low Pressure (L) with associated CYCIR,02-10-2023,7.6 km,Jharkhand ; Chhattisgarh,Jharkhand ; Chhattisgarh
Trough,02-10-2023,3.1 km to 5.8 km,Chhattisgarh ; Telangana ; Marathwada ; Madhya Maharashtra,Chhattisgarh ; Telangana ; Marathwada ; Madhya Maharashtra
Cyclonic Circulation (CYCIR),02-10-2023,3.1 km,Punjab ; Jammu & Kashmir,Punjab ; Jammu & Kashmir
Western Disturbances (WD),02-10-2023,5.8 km,West Pakistan ; Central Pakistan,West Pakistan ; Central Pakistan
Low Pressure (L) with associated CYCIR,03-10-2023,7.6 km,Jharkhand,Jharkhand
Trough,03-10-2023,3.1 km,Jharkhand ; Odisha ; Chhattisgarh ; Telangana,Jharkhand ; Odisha ; Chhattisgarh ; Telangana
Western Disturbances (WD),03-10-2023,5.8 km,Jammu & Kashmir ; Punjab ; North Pakistan ; Haryana ; Himachal Pradesh,Jammu & Kashmir ; Punjab ; North Pakistan ; Haryana ; Himachal Pradesh
Low Pressure (L) with associated CYCIR,04-10-2023,7.6 km,Gangetic West Bengal ; Jharkhand,Gangetic West Bengal ; Jharkhand
Trough,04-10-2023,3.1 km,Sikkim ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; Jharkhand ; Odisha ; Chhattisgarh,Sikkim ; Sub-Himalayan West Bengal & Sikkim ; Gangetic West Bengal ; Jharkhand ; Odisha ; Chhattisgarh
Western Disturbances (WD),04-10-2023,5.8 km,Jammu & Kashmir ; Himachal Pradesh ; Ladakh,Jammu & Kashmir ; Himachal Pradesh ; Ladakh
Low Pressure (L) with associated CYCIR,05-10-2023,7.6 km,Gangetic West Bengal,Gangetic West Bengal
Trough,05-10-2023,1.5 km,Gangetic West Bengal ; Jharkhand ; East Uttar Pradesh,Gangetic West Bengal ; Jharkhand ; East Uttar Pradesh
Western Disturbances (WD),05-10-2023,5.8 km,Jammu & Kashmir ; Himachal Pradesh ; Ladakh,Jammu & Kashmir ; Himachal Pradesh ; Ladakh
Low Pressure (L) with associated CYCIR,06-10-2023,3.1 km,Bangladesh,Bangladesh
