weather system,date,heightAboveMSL,Regions,subdivisions
Cyclonic Circulation (CYCIR),01-07-2023,5.8 km,West Uttar Pradesh,West Uttar Pradesh
Mean Sea Level Trough,01-07-2023,Surface,"West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Nagaland, Manipur, Mizoram & Tripura","West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Nagaland, Manipur, Mizoram & Tripura"
Trough,01-07-2023,3.1 km to 5.8 km,West Uttar Pradesh ; East Rajasthan ; Gujarat Region ; NE Arabian Sea,West Uttar Pradesh ; East Rajasthan ; Gujarat Region ; NE Arabian Sea
Offshore Trough,01-07-2023,Surface,Saurashtra & Kutch ; Konkan & Goa ; Madhya Maharashtra ; Kerala,Saurashtra & Kutch ; Konkan & Goa ; Madhya Maharashtra ; Kerala
Western Disturbances (WD),01-07-2023,5.8 km,Jammu & Kashmir ; Konkan & Goa ; Coastal Karnataka ; Punjab ; Madhya Maharashtra,Jammu & Kashmir ; Konkan & Goa ; Coastal Karnataka ; Punjab ; Madhya Maharashtra
Cyclonic Circulation (CYCIR),01-07-2023,4.5 km to 5.8 km,SW Bay ; SE Bay ; WC Bay,SW Bay ; SE Bay ; WC Bay
Cyclonic Circulation (CYCIR),04-07-2023,3.1 km,West Uttar Pradesh ; East Uttar Pradesh,West Uttar Pradesh ; East Uttar Pradesh
Offshore Trough,04-07-2023,Surface,Gujarat Region ; Konkan & Goa ; Madhya Maharashtra ; Kerala,Gujarat Region ; Konkan & Goa ; Madhya Maharashtra ; Kerala
Cyclonic Circulation (CYCIR),04-07-2023,1.5 km to 7.6 km,WC Bay ; Coastal Andhra Pradesh,WC Bay ; Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),04-07-2023,3.1 km,Gujarat Region,Gujarat Region
Cyclonic Circulation (CYCIR),05-07-2023,3.1 km,West Uttar Pradesh ; East Uttar Pradesh,West Uttar Pradesh ; East Uttar Pradesh
Offshore Trough,05-07-2023,Surface,Konkan & Goa ; Kerala,Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),05-07-2023,1.5 km to 7.6 km,NW Bay ; WC Bay ; EC Bay,NW Bay ; WC Bay ; EC Bay
Western Disturbances (WD),05-07-2023,5.8 km,West Pakistan ; Central Pakistan,West Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),05-07-2023,1.5 km,North pakistan ; Punjab,North pakistan ; Punjab
Offshore Trough,06-07-2023,Surface,Gujarat Region ; Konkan & Goa ; Kerala,Gujarat Region ; Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),06-07-2023,1.5 km to 7.6 km,Gangetic West Bengal ; Odisha,Gangetic West Bengal ; Odisha
Western Disturbances (WD),06-07-2023,5.8 km,Central Pakistan ; North Pakistan ; South Pakistan ; West Pakistan,Central Pakistan ; North Pakistan ; South Pakistan ; West Pakistan
Cyclonic Circulation (CYCIR),06-07-2023,1.5 km,North pakistan ; Punjab,North pakistan ; Punjab
Cyclonic Circulation (CYCIR),06-07-2023,3.1 km,NE Arabian Sea ; Gujarat Region,NE Arabian Sea ; Gujarat Region
Monsoon Trough with Extension and Tilt,08-07-2023,1.5 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Odisha ; NW Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Odisha ; NW Bay
Offshore Trough,08-07-2023,Surface,Gujarat Region ; Konkan & Goa ; Kerala,Gujarat Region ; Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),08-07-2023,5.8 km,West Rajasthan,West Rajasthan
Western Disturbances (WD),08-07-2023,5.8 km,West Rajasthan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab,West Rajasthan ; North Pakistan ; Central Pakistan ; Jammu & Kashmir ; Punjab
Monsoon Trough with Extension and Tilt,09-07-2023,1.5 km,"West Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; Nagaland, Manipur, Mizoram & Tripura","West Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; Nagaland, Manipur, Mizoram & Tripura"
Offshore Trough,09-07-2023,Surface,Konkan & Goa ; Coastal Karnataka ; Kerala,Konkan & Goa ; Coastal Karnataka ; Kerala
Cyclonic Circulation (CYCIR),09-07-2023,3.1 km,West Rajasthan ; East Rajasthan,West Rajasthan ; East Rajasthan
Western Disturbances (WD),09-07-2023,3.1 km to 9.5 km,"North pakistan, Central Pakistan, SW Arabian Sea","North pakistan, Central Pakistan, SW Arabian Sea"
Monsoon Trough with Extension and Tilt,10-07-2023,3.1 km,"West Rajasthan ; East Rajasthan ; West Uttar Pradesh ; Bihar ; Gangetic West Bengal ; Nagaland, Manipur, Mizoram & Tripura","West Rajasthan ; East Rajasthan ; West Uttar Pradesh ; Bihar ; Gangetic West Bengal ; Nagaland, Manipur, Mizoram & Tripura"
Offshore Trough,10-07-2023,Surface,Gujarat Region ; Konkan & Goa ; Kerala,Gujarat Region ; Konkan & Goa ; Kerala
Low Pressure (L) with associated CYCIR,10-07-2023,4.5 km,East Rajasthan,East Rajasthan
Western Disturbances (WD),10-07-2023,5.1 km to 9.5 km,"North pakistan, Central Pakistan, SW Arabian Sea","North pakistan, Central Pakistan, SW Arabian Sea"
Cyclonic Circulation (CYCIR),10-07-2023,5.8 km,SW Bay ; Tamil Nadu & Puducherry,SW Bay ; Tamil Nadu & Puducherry
Monsoon Trough with Extension and Tilt,11-07-2023,Surface,West Rajasthan ; East Rajasthan ; East Uttar Pradesh ; Bihar ; Gangetic West Bengal ; Arunachal Pradesh,West Rajasthan ; East Rajasthan ; East Uttar Pradesh ; Bihar ; Gangetic West Bengal ; Arunachal Pradesh
Offshore Trough,11-07-2023,Surface,Konkan & Goa ; Kerala,Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),11-07-2023,5.8 km,East Rajasthan ; West Madhya Pradesh,East Rajasthan ; West Madhya Pradesh
Western Disturbances (WD),11-07-2023,3.1 km to 9.5 km,South Pakistan ; West Pakistan ; Central Pakistan,South Pakistan ; West Pakistan ; Central Pakistan
Cyclonic Circulation (CYCIR),11-07-2023,1.5 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),11-07-2023,4.5 km to 7.6 km,SW Bay,SW Bay
Monsoon Trough with Extension and Tilt,12-07-2023,Surface,West Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Arunachal Pradesh,West Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Bihar ; Sub-Himalayan West Bengal & Sikkim ; Arunachal Pradesh
Cyclonic Circulation (CYCIR),12-07-2023,3.1 km,Coastal Andhra Pradesh,Coastal Andhra Pradesh
Cyclonic Circulation (CYCIR),12-07-2023,3.1 km,West Uttar Pradesh ; East Uttar Pradesh,West Uttar Pradesh ; East Uttar Pradesh
Western Disturbances (WD),12-07-2023,3.1 km to 7.6 km,"Haryana, Chandigarh & Delhi, Uttarakhand, Himachal Pradesh, Jammu & Kashmir","Haryana, Chandigarh & Delhi, Uttarakhand, Himachal Pradesh, Jammu & Kashmir"
Cyclonic Circulation (CYCIR),12-07-2023,4.5 km to 7.6 km,WC Bay ; SW Bay,WC Bay ; SW Bay
Cyclonic Circulation (CYCIR),13-07-2023,3.1 km,West Uttar Pradesh ; East Uttar Pradesh,West Uttar Pradesh ; East Uttar Pradesh
Trough,13-07-2023,2.1 km to 3.1 km,West Uttar Pradesh ; East Uttar Pradesh ; Gujarat Region ; West Madhya Pradesh ; East Madhya Pradesh,West Uttar Pradesh ; East Uttar Pradesh ; Gujarat Region ; West Madhya Pradesh ; East Madhya Pradesh
Cyclonic Circulation (CYCIR),13-07-2023,4.5 km to 7.6 km,WC Bay ; SW Bay,WC Bay ; SW Bay
Western Disturbances (WD),13-07-2023,5.8 km,"Haryana, Chandigarh & Delhi, Uttarakhand, Himachal Pradesh, Jammu & Kashmir","Haryana, Chandigarh & Delhi, Uttarakhand, Himachal Pradesh, Jammu & Kashmir"
Monsoon Trough with Extension and Tilt,14-07-2023,Surface,"West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; Nagaland, Manipur, Mizoram & Tripura","West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; Nagaland, Manipur, Mizoram & Tripura"
Western Disturbances (WD),14-07-2023,4.5 km to 9.5 km,Central Pakistan,Central Pakistan
Cyclonic Circulation (CYCIR),14-07-2023,1.5 km,East Uttar Pradesh ; West Uttar Pradesh,East Uttar Pradesh ; West Uttar Pradesh
Offshore Trough,14-07-2023,Surface,Madhya Maharashtra ; Konkan & Goa ; Kerala,Madhya Maharashtra ; Konkan & Goa ; Kerala
Cyclonic Circulation (CYCIR),14-07-2023,3.1 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Cyclonic Circulation (CYCIR),14-07-2023,3.1 km,Gujarat Region,Gujarat Region
Cyclonic Circulation (CYCIR),14-07-2023,5.8 km to 7.6 km,Coastal Andhra Pradesh,Coastal Andhra Pradesh
Monsoon Trough with Extension and Tilt,15-07-2023,0.9 km,"West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; EC Bay","West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; East Madhya Pradesh ; Jharkhand ; Gangetic West Bengal ; EC Bay"
Cyclonic Circulation (CYCIR),15-07-2023,5.8 km,NW Bay ; Odisha ; Gangetic West Bengal,NW Bay ; Odisha ; Gangetic West Bengal
Western Disturbances (WD),15-07-2023,3.1 km to 7.6 km,North pakistan ; Punjab,North pakistan ; Punjab
Cyclonic Circulation (CYCIR),15-07-2023,5.8 km,Gujrat Region,Gujrat Region
Monsoon Trough with Extension and Tilt,16-07-2023,Surface,"West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Jharkhand ; Odisha ; Gangetic West Bengal ; EC Bay","West Rajasthan ; Haryana, Chandigarh & Delhi ; West Uttar Pradesh ; East Uttar Pradesh ; Jharkhand ; Odisha ; Gangetic West Bengal ; EC Bay"
Western Disturbances (WD),16-07-2023,5.8 km,North pakistan ; Jammu & Kashmir,North pakistan ; Jammu & Kashmir
Westerly Trough,16-07-2023,7.6 km,Central Pakistan ; North Pakistan ; West Pakistan,Central Pakistan ; North Pakistan ; West Pakistan
Monsoon Trough with Extension and Tilt,17-07-2023,1.5 km,West Rajasthan ; East Rajasthan ; West Uttar Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay,West Rajasthan ; East Rajasthan ; West Uttar Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay
Cyclonic Circulation (CYCIR),17-07-2023,7.6 km,Jharkhand,Jharkhand
Western Disturbances (WD),17-07-2023,5.8 km,Central Pakistan ; Punjab,Central Pakistan ; Punjab
Cyclonic Circulation (CYCIR),18-07-2023,7.6 km,NW Bay ; Odisha,NW Bay ; Odisha
Cyclonic Circulation (CYCIR),18-07-2023,1.5 km,Chhattisgarh,Chhattisgarh
Cyclonic Circulation (CYCIR),18-07-2023,0.9 km,West Madhya Pradesh,West Madhya Pradesh
Cyclonic Circulation (CYCIR),18-07-2023,3.1 km,"Haryana, Chandigarh & Delhi","Haryana, Chandigarh & Delhi"
Monsoon Trough with Extension and Tilt,19-07-2023,2.1 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; Odisha ; EC Bay
Cyclonic Circulation (CYCIR),19-07-2023,7.6 km,NW Bay ; WC Bay ; Coastal Andhra Pradesh ; Odisha,NW Bay ; WC Bay ; Coastal Andhra Pradesh ; Odisha
Cyclonic Circulation (CYCIR),19-07-2023,1.5 km,Chhattisgarh,Chhattisgarh
Cyclonic Circulation (CYCIR),19-07-2023,3.1 km,Punjab,Punjab
Monsoon Trough with Extension and Tilt,20-07-2023,2.1 km,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; NW Bay ; Odisha ; EC Bay,West Rajasthan ; East Rajasthan ; West Madhya Pradesh ; East Madhya Pradesh ; Chhattisgarh ; NW Bay ; Odisha ; EC Bay
Low Pressure (L) with associated CYCIR,20-07-2023,7.6 km,NW Bay ; Odisha,NW Bay ; Odisha
Western Disturbances (WD),20-07-2023,5.8 km,Iran,Iran
